i,time,HHsize,HH,Type,has_hh,month
1,29,5,1,NA,FALSE,1
1,62,5,1,H,TRUE,3
1,55,5,1,H,TRUE,2
1,58,5,1,H,TRUE,2
1,61,5,1,H,TRUE,3
1,63,6,24,C,FALSE,3
1,121,6,24,H,TRUE,5
1,92,6,24,H,TRUE,4
1,94,6,24,H,TRUE,4
1,124,6,24,H,TRUE,5
1,120,6,24,H,TRUE,4
1,169,6,39,H,TRUE,6
1,114,6,39,C,FALSE,4
1,169,6,39,H,TRUE,6
1,144,6,39,H,TRUE,5
1,168,6,39,H,TRUE,6
1,141,6,39,H,TRUE,5
1,227,5,111,H,TRUE,8
1,195,5,111,H,TRUE,7
1,169,5,111,C,FALSE,6
1,196,5,111,H,TRUE,7
1,198,5,111,H,TRUE,7
1,126,3,118,C,FALSE,5
1,155,3,118,H,TRUE,6
1,157,3,118,H,TRUE,6
1,230,5,127,H,TRUE,8
1,227,5,127,H,TRUE,8
1,231,5,127,H,TRUE,8
1,200,5,127,C,FALSE,7
1,231,5,127,H,TRUE,8
1,122,5,165,C,FALSE,5
1,150,5,165,H,TRUE,5
1,153,5,165,H,TRUE,6
1,152,5,165,H,TRUE,6
1,156,5,165,H,TRUE,6
1,61,6,173,C,FALSE,3
1,96,6,173,H,TRUE,4
1,84,6,173,H,TRUE,3
1,109,6,173,H,TRUE,4
1,120,6,173,H,TRUE,4
1,94,6,173,H,TRUE,4
2,25,6,1,NA,FALSE,1
2,50,6,1,H,TRUE,2
2,82,6,1,H,TRUE,3
2,83,6,1,H,TRUE,3
2,80,6,1,H,TRUE,3
2,54,6,1,H,TRUE,2
2,355,3,2,C,FALSE,12
2,292,6,8,C,FALSE,10
2,331,6,8,H,TRUE,12
2,348,6,8,H,TRUE,12
2,320,6,8,H,TRUE,11
2,325,6,8,H,TRUE,11
2,322,6,8,H,TRUE,11
2,290,5,26,H,TRUE,10
2,288,5,26,H,TRUE,10
2,287,5,26,H,TRUE,10
2,260,5,26,C,FALSE,9
2,289,5,26,H,TRUE,10
2,220,5,29,H,TRUE,8
2,188,5,29,C,FALSE,7
2,217,5,29,H,TRUE,8
2,221,5,29,H,TRUE,8
2,220,5,29,H,TRUE,8
2,119,4,36,C,TRUE,4
2,138,4,36,H,TRUE,5
2,139,4,36,H,TRUE,5
2,109,4,36,C,FALSE,4
2,152,6,49,H,TRUE,6
2,122,6,49,C,FALSE,5
2,152,6,49,H,TRUE,6
2,153,6,49,H,TRUE,6
2,149,6,49,H,TRUE,5
2,155,6,49,H,TRUE,6
2,205,6,51,H,TRUE,7
2,212,6,51,H,TRUE,8
2,209,6,51,H,TRUE,7
2,209,6,51,H,TRUE,7
2,181,6,51,H,TRUE,7
2,147,6,51,C,FALSE,5
2,203,6,64,H,TRUE,7
2,142,6,64,C,FALSE,5
2,200,6,64,H,TRUE,7
2,177,6,64,H,TRUE,6
2,177,6,64,H,TRUE,6
2,173,6,64,H,TRUE,6
2,119,6,73,H,TRUE,4
2,117,6,73,H,TRUE,4
2,147,6,73,H,TRUE,5
2,144,6,73,H,TRUE,5
2,149,6,73,H,TRUE,5
2,86,6,73,C,FALSE,3
2,351,6,77,C,FALSE,12
2,201,4,89,C,FALSE,7
2,228,4,89,H,TRUE,8
2,231,4,89,H,TRUE,8
2,260,4,89,H,TRUE,9
2,119,3,104,H,TRUE,4
2,116,3,104,H,TRUE,4
2,88,3,104,C,FALSE,3
2,207,3,107,C,FALSE,7
2,240,3,107,H,TRUE,8
2,234,3,107,H,TRUE,8
2,133,6,114,H,TRUE,5
2,103,6,114,H,TRUE,4
2,147,6,114,H,TRUE,5
2,80,6,114,C,FALSE,3
2,131,6,114,H,TRUE,5
2,112,6,114,H,TRUE,4
