"ID","SIZE","HH","TYPE","TIME","S_NUM","I_NUM"
1,6,1,"0",NA,NA,0
2,6,1,NA,NA,NA,0
3,6,1,"H",194,2,1
4,6,1,"E",166,4,2
5,6,1,"H",187,2,0
6,6,1,"H",209,1,0
7,6,2,"E",310,5,0
8,6,2,NA,NA,NA,0
9,6,2,NA,NA,NA,0
10,6,2,NA,NA,NA,0
11,6,2,NA,NA,NA,0
12,6,2,NA,NA,NA,0
13,3,3,"H",327,1,0
14,3,3,"E",288,2,1
15,3,3,NA,NA,NA,0
16,5,4,"H",313,1,0
17,5,4,"E",244,4,3
18,5,4,NA,NA,NA,0
19,5,4,"H",268,1,0
20,5,4,"H",268,1,0
21,4,5,"H",159,2,1
22,4,5,"E",148,3,1
23,4,5,"H",253,0,0
24,4,5,"H",222,1,1
25,5,6,"H",NA,NA,0
26,5,6,NA,NA,NA,0
27,5,6,"H",339,3,1
28,5,6,"E",290,4,1
29,5,6,NA,NA,NA,0
30,3,7,NA,NA,NA,0
31,3,7,NA,NA,NA,0
32,3,7,"E",151,2,0
33,5,8,"H",207,0,0
34,5,8,"H",170,2,1
35,5,8,"H",225,0,0
36,5,8,"H",180,1,1
37,5,8,"E",146,4,2
38,3,9,NA,NA,NA,0
39,3,9,NA,NA,NA,0
40,3,9,NA,NA,NA,0
41,4,10,NA,NA,NA,0
42,4,10,NA,NA,NA,0
43,4,10,NA,NA,NA,0
44,4,10,"E",309,3,0
45,3,11,NA,NA,NA,0
46,3,11,NA,NA,NA,0
47,3,11,NA,NA,NA,0
48,3,12,NA,NA,NA,0
49,3,12,"E",291,2,0
50,3,12,NA,NA,NA,0
51,6,13,NA,NA,NA,0
52,6,13,"E",142,5,0
53,6,13,NA,NA,NA,0
54,6,13,NA,NA,NA,0
55,6,13,NA,NA,NA,0
56,6,13,NA,NA,NA,0
57,3,14,NA,NA,NA,0
58,3,14,NA,NA,NA,0
59,3,14,NA,NA,NA,0
60,3,15,"E",314,2,1
61,3,15,"H",NA,NA,0
62,3,15,NA,NA,NA,0
63,3,16,NA,NA,NA,0
64,3,16,NA,NA,NA,0
65,3,16,NA,NA,NA,0
66,6,17,"H",105,3,1
67,6,17,NA,NA,NA,0
68,6,17,"H",141,2,1
69,6,17,"H",120,2,0
70,6,17,"E",73,5,2
71,6,17,"H",167,1,0
72,4,18,NA,NA,NA,0
73,4,18,"E",247,2,0
74,4,18,"E",270,2,0
75,4,18,NA,NA,NA,0
76,5,19,NA,NA,NA,0
77,5,19,NA,NA,NA,0
78,5,19,NA,NA,NA,0
79,5,19,NA,NA,NA,0
80,5,19,NA,NA,NA,0
81,4,20,NA,NA,NA,0
82,4,20,NA,NA,NA,0
83,4,20,NA,NA,NA,0
84,4,20,NA,NA,NA,0
85,5,21,NA,NA,NA,0
86,5,21,NA,NA,NA,0
87,5,21,NA,NA,NA,0
88,5,21,NA,NA,NA,0
89,5,21,NA,NA,NA,0
90,4,22,NA,NA,NA,0
91,4,22,NA,NA,NA,0
92,4,22,NA,NA,NA,0
93,4,22,NA,NA,NA,0
94,5,23,NA,NA,NA,0
95,5,23,"E",199,4,0
96,5,23,NA,NA,NA,0
