i,time,HHsize,HH,Type,has_hh,month
1,1,5,1,NA,FALSE,1
1,35,5,1,H,TRUE,2
1,66,5,1,H,TRUE,3
1,34,5,1,H,TRUE,2
1,69,5,1,H,TRUE,3
2,1,3,1,NA,FALSE,1
2,32,3,1,H,TRUE,2
2,64,3,1,H,TRUE,3
3,1,3,1,NA,FALSE,1
3,33,3,1,H,TRUE,2
3,34,3,1,H,TRUE,2
3,331,6,2,H,TRUE,12
3,298,6,2,C,FALSE,10
3,360,5,7,C,FALSE,12
3,236,3,9,C,FALSE,8
3,263,3,9,H,TRUE,9
3,270,3,9,H,TRUE,9
3,295,4,11,C,FALSE,10
3,235,4,15,C,FALSE,8
3,355,5,16,H,TRUE,12
3,327,5,16,C,FALSE,11
3,355,5,16,H,TRUE,12
3,358,5,16,H,TRUE,12
3,293,5,17,C,FALSE,10
3,353,5,17,H,TRUE,12
3,351,5,17,H,TRUE,12
3,320,5,17,H,TRUE,11
3,324,4,21,H,TRUE,11
3,290,4,21,C,FALSE,10
3,318,5,22,C,FALSE,11
3,342,5,22,H,TRUE,12
3,329,3,24,H,TRUE,11
3,360,3,24,H,TRUE,12
3,303,3,24,C,FALSE,11
3,268,3,36,H,TRUE,9
3,233,3,36,C,FALSE,8
3,267,3,36,H,TRUE,9
3,357,6,46,H,TRUE,12
3,296,6,46,C,FALSE,10
3,354,6,46,H,TRUE,12
3,323,6,46,H,TRUE,11
3,325,6,46,H,TRUE,11
3,121,5,48,H,TRUE,5
3,114,5,48,H,TRUE,4
3,147,5,48,H,TRUE,5
3,88,5,48,C,FALSE,3
3,121,5,48,H,TRUE,5
3,300,6,49,H,TRUE,10
3,298,6,49,H,TRUE,10
3,299,6,49,H,TRUE,10
3,262,6,49,H,TRUE,9
3,267,6,49,H,TRUE,9
3,231,6,49,C,FALSE,8
3,304,3,54,C,FALSE,11
3,334,3,54,H,TRUE,12
3,92,3,57,H,TRUE,4
3,55,3,57,H,TRUE,2
3,29,3,57,C,FALSE,1
3,205,6,58,C,FALSE,7
3,238,6,58,H,TRUE,8
3,235,6,58,H,TRUE,8
3,239,6,58,H,TRUE,8
3,274,6,58,H,TRUE,10
3,359,4,60,C,FALSE,12
3,201,5,61,C,FALSE,7
3,321,5,65,H,TRUE,11
3,351,5,65,H,TRUE,12
3,295,5,65,C,FALSE,10
3,326,5,65,H,TRUE,11
3,328,6,70,C,FALSE,11
3,292,6,79,C,FALSE,10
3,344,6,79,H,TRUE,12
3,317,6,79,H,TRUE,11
3,296,5,81,H,TRUE,10
3,296,5,81,H,TRUE,10
3,292,5,81,H,TRUE,10
3,267,5,81,C,FALSE,9
3,325,5,81,H,TRUE,11
3,330,4,88,C,FALSE,11
3,259,3,94,C,FALSE,9
3,328,5,95,H,TRUE,11
3,357,5,95,H,TRUE,12
3,355,5,95,H,TRUE,12
3,362,5,95,H,TRUE,13
3,298,5,95,C,FALSE,10
3,329,4,101,H,TRUE,11
3,362,4,101,H,TRUE,13
3,295,4,101,C,FALSE,10
3,296,3,107,C,FALSE,10
3,179,6,109,H,TRUE,6
3,173,6,109,H,TRUE,6
3,175,6,109,H,TRUE,6
3,173,6,109,H,TRUE,6
3,146,6,109,C,FALSE,5
3,354,4,113,C,FALSE,12
3,269,5,114,H,TRUE,9
3,207,5,114,C,FALSE,7
