i,time,Type,has_hh,month
1,1,NA,FALSE,1
2,1,NA,FALSE,1
2,62,H,TRUE,3
2,61,H,TRUE,3
2,33,H,TRUE,2
2,343,C,FALSE,12
2,220,C,FALSE,8
2,248,H,TRUE,9
2,248,H,TRUE,9
2,242,H,TRUE,9
2,214,C,FALSE,8
2,313,C,TRUE,11
2,284,C,FALSE,10
2,285,C,FALSE,10
2,317,H,TRUE,11
2,251,C,FALSE,9
2,284,H,TRUE,10
2,283,H,TRUE,10
2,312,H,TRUE,11
2,319,C,FALSE,11
2,220,H,TRUE,8
2,189,C,FALSE,7
2,221,H,TRUE,8
2,249,H,TRUE,9
2,255,H,TRUE,9
2,287,H,TRUE,10
2,225,C,FALSE,8
2,344,H,TRUE,12
2,315,H,TRUE,11
2,283,C,FALSE,10
2,65,C,FALSE,3
2,123,H,TRUE,5
2,126,H,TRUE,5
2,95,C,FALSE,4
2,159,H,TRUE,6
2,342,H,TRUE,12
2,346,H,TRUE,12
2,312,C,FALSE,11
2,306,C,FALSE,11
2,190,H,TRUE,7
2,127,C,FALSE,5
2,160,H,TRUE,6
2,190,H,TRUE,7
2,158,H,TRUE,6
2,339,C,FALSE,12
2,306,H,TRUE,11
2,275,C,FALSE,10
2,307,H,TRUE,11
2,335,H,TRUE,12
2,276,C,TRUE,10
2,247,C,TRUE,9
2,310,H,TRUE,11
2,304,H,TRUE,11
2,221,C,FALSE,8
2,287,H,TRUE,10
2,254,C,FALSE,9
2,220,C,FALSE,8
2,286,H,TRUE,10
2,252,H,TRUE,9
2,337,C,FALSE,12
2,312,H,TRUE,11
2,310,H,TRUE,11
2,278,C,FALSE,10
2,345,H,TRUE,12
2,349,C,FALSE,12
2,344,C,FALSE,12
2,285,C,FALSE,10
2,319,H,TRUE,11
2,317,H,TRUE,11
2,254,H,TRUE,9
2,254,H,TRUE,9
2,221,C,FALSE,8
2,253,H,TRUE,9
2,342,H,TRUE,12
2,312,C,FALSE,11
2,288,C,FALSE,10
2,314,C,FALSE,11
2,314,H,TRUE,11
2,282,C,FALSE,10
2,315,H,TRUE,11
2,343,H,TRUE,12
2,345,C,FALSE,12
2,353,C,FALSE,12
2,256,H,TRUE,9
2,275,C,TRUE,10
2,194,C,FALSE,7
2,228,H,TRUE,8
2,284,H,TRUE,10
2,349,C,FALSE,12
2,249,C,FALSE,9
2,311,H,TRUE,11
2,283,C,FALSE,10
2,317,H,TRUE,11
2,314,H,TRUE,11
2,314,H,TRUE,11
2,257,C,FALSE,9
2,286,H,TRUE,10
2,285,H,TRUE,10
2,159,H,TRUE,6
2,130,C,FALSE,5
2,221,H,TRUE,8
2,164,H,TRUE,6
2,192,H,TRUE,7
2,304,C,TRUE,11
2,336,H,TRUE,12
2,275,C,FALSE,10
2,309,H,TRUE,11
2,246,C,FALSE,9
2,275,H,TRUE,10
2,279,H,TRUE,10
2,246,H,TRUE,9
2,215,H,TRUE,8
2,187,C,FALSE,7
2,217,H,TRUE,8
2,246,H,TRUE,9
2,158,C,FALSE,6
2,190,H,TRUE,7
2,217,H,TRUE,8
2,189,H,TRUE,7
2,345,C,FALSE,12
2,344,C,FALSE,12
2,346,C,FALSE,12
2,334,H,TRUE,12
2,335,H,TRUE,12
2,305,C,FALSE,11
2,214,H,TRUE,8
2,279,H,TRUE,10
2,186,C,FALSE,7
2,273,H,TRUE,10
2,245,H,TRUE,9
2,348,H,TRUE,12
2,314,C,FALSE,11
2,342,C,FALSE,12
2,283,H,TRUE,10
2,309,H,TRUE,11
2,249,H,TRUE,9
2,277,H,TRUE,10
2,216,C,FALSE,8
2,278,C,FALSE,10
2,309,H,TRUE,11
2,349,C,FALSE,12
2,340,C,FALSE,12
2,279,C,FALSE,10
2,342,H,TRUE,12
2,312,H,TRUE,11
2,303,H,TRUE,11
2,309,H,TRUE,11
2,306,H,TRUE,11
2,345,C,TRUE,12
2,275,C,FALSE,10
2,342,C,FALSE,12
2,341,C,FALSE,12
2,277,C,FALSE,10
2,337,H,TRUE,12
2,308,C,FALSE,11
2,336,H,TRUE,12
2,340,H,TRUE,12
2,190,C,FALSE,7
2,189,H,TRUE,7
2,158,C,FALSE,6
2,189,H,TRUE,7
2,340,C,FALSE,12
2,229,H,TRUE,8
2,289,H,TRUE,10
2,285,H,TRUE,10
2,257,H,TRUE,9
2,195,C,FALSE,7
2,285,C,FALSE,10
2,347,H,TRUE,12
2,313,H,TRUE,11
2,319,H,TRUE,11
2,342,H,TRUE,12
2,308,C,FALSE,11
2,129,C,FALSE,5
2,218,C,TRUE,8
2,191,C,FALSE,7
2,224,H,TRUE,8
2,255,H,TRUE,9
2,247,C,FALSE,9
2,248,C,FALSE,9
2,281,H,TRUE,10
2,250,C,FALSE,9
2,282,H,TRUE,10
2,363,C,FALSE,13
2,345,H,TRUE,12
2,315,C,FALSE,11
2,315,H,TRUE,11
2,287,C,FALSE,10
2,347,H,TRUE,12
2,348,H,TRUE,12
2,318,H,TRUE,11
2,352,H,TRUE,12
2,352,H,TRUE,12
2,290,C,FALSE,10
2,319,H,TRUE,11
2,338,C,FALSE,12
2,280,C,FALSE,10
2,342,H,TRUE,12
2,310,C,TRUE,11
2,353,C,FALSE,12
2,286,C,FALSE,10
2,316,H,TRUE,11
2,126,H,TRUE,5
2,97,C,FALSE,4
2,127,H,TRUE,5
2,318,H,TRUE,11
2,254,C,FALSE,9
2,287,H,TRUE,10
2,223,C,FALSE,8
2,255,H,TRUE,9
2,251,C,TRUE,9
2,309,H,TRUE,11
2,308,H,TRUE,11
2,280,C,FALSE,10
2,337,H,TRUE,12
2,307,C,FALSE,11
2,249,C,FALSE,9
2,276,H,TRUE,10
2,342,H,TRUE,12
2,310,H,TRUE,11
2,248,C,FALSE,9
2,247,H,TRUE,9
2,250,H,TRUE,9
2,188,C,FALSE,7
2,216,H,TRUE,8
