"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,4,1,"0",31,NA,0
2,4,1,"E",348,NA,0
3,4,1,"E",194,NA,0
4,4,1,"E",216,NA,0
5,6,2,"E",NA,NA,0
6,6,2,"E",149,NA,0
7,6,2,"E",141,NA,0
8,6,2,"E",141,NA,0
9,6,2,"E",352,NA,0
10,6,2,"E",252,NA,0
11,4,3,"E",213,NA,0
12,4,3,"E",285,NA,0
13,4,3,"E",141,NA,0
14,4,3,"E",138,NA,0
15,5,4,"E",186,NA,0
16,5,4,NA,NA,NA,0
17,5,4,"E",222,NA,0
18,5,4,"E",352,NA,0
19,5,4,"E",159,NA,0
20,6,5,"E",265,NA,0
21,6,5,"E",188,NA,0
22,6,5,"E",158,NA,0
23,6,5,"E",181,NA,0
24,6,5,NA,NA,NA,0
25,6,5,"E",293,NA,0
26,4,6,"E",333,NA,0
27,4,6,"E",218,NA,0
28,4,6,"E",220,NA,0
29,4,6,"E",NA,NA,0
30,3,7,"E",170,NA,0
31,3,7,"E",182,NA,0
32,3,7,"E",229,NA,0
33,4,8,"E",143,NA,0
34,4,8,"E",349,NA,0
35,4,8,"E",231,NA,0
36,4,8,"E",148,NA,0
37,5,9,"E",158,NA,0
38,5,9,"E",205,NA,0
39,5,9,"E",252,NA,0
40,5,9,"E",130,NA,0
41,5,9,"E",154,NA,0
42,6,10,"E",254,NA,0
43,6,10,"E",332,NA,0
44,6,10,"E",236,NA,0
45,6,10,"E",121,NA,0
46,6,10,"E",146,NA,0
47,6,10,"E",167,NA,0
48,6,11,"E",153,NA,0
49,6,11,"E",126,NA,0
50,6,11,"E",343,NA,0
51,6,11,"E",132,NA,0
52,6,11,"E",108,NA,0
53,6,11,"E",192,NA,0
54,4,12,"E",124,NA,0
55,4,12,"E",252,NA,0
56,4,12,"E",141,NA,0
57,4,12,"E",227,NA,0
58,6,13,"E",339,NA,0
59,6,13,"E",125,NA,0
60,6,13,"E",156,NA,0
61,6,13,"E",312,NA,0
62,6,13,"E",321,NA,0
63,6,13,"E",276,NA,0
64,4,14,"E",321,NA,0
65,4,14,NA,NA,NA,0
66,4,14,"E",123,NA,0
67,4,14,"E",292,NA,0
68,4,15,"E",209,NA,0
69,4,15,"E",169,NA,0
70,4,15,"E",167,NA,0
71,4,15,"E",152,NA,0
72,5,16,NA,NA,NA,0
73,5,16,"E",117,NA,0
74,5,16,"E",147,NA,0
75,5,16,"E",204,NA,0
76,5,16,"E",241,NA,0
77,6,17,"E",180,NA,0
78,6,17,"E",158,NA,0
79,6,17,NA,NA,NA,0
80,6,17,"E",163,NA,0
81,6,17,"E",133,NA,0
82,6,17,"E",242,NA,0
83,3,18,"E",205,NA,0
84,3,18,"E",223,NA,0
85,3,18,"E",154,NA,0
86,6,19,"E",303,NA,0
87,6,19,"E",228,NA,0
88,6,19,"E",235,NA,0
89,6,19,"E",149,NA,0
90,6,19,"E",217,NA,0
91,6,19,NA,NA,NA,0
92,3,20,"E",253,NA,0
93,3,20,"E",272,NA,0
94,3,20,"E",235,NA,0
95,5,21,"E",NA,NA,0
96,5,21,"E",148,NA,0
97,5,21,"E",160,NA,0
98,5,21,"E",139,NA,0
99,5,21,"E",268,NA,0
100,5,22,"E",194,NA,0
101,5,22,"E",173,NA,0
102,5,22,"E",136,NA,0
103,5,22,"E",195,NA,0
104,5,22,"E",118,NA,0
105,6,23,"E",186,NA,0
106,6,23,"E",107,NA,0
107,6,23,"E",181,NA,0
108,6,23,"E",224,NA,0
109,6,23,"E",180,NA,0
110,6,23,"E",132,NA,0
111,4,24,"E",162,NA,0
112,4,24,"E",323,NA,0
113,4,24,"E",133,NA,0
114,4,24,"E",135,NA,0
115,3,25,"E",142,NA,0
116,3,25,"E",286,NA,0
117,3,25,"E",353,NA,0
118,5,26,"E",148,NA,0
119,5,26,"E",163,NA,0
120,5,26,"E",227,NA,0
121,5,26,"E",144,NA,0
122,5,26,"E",207,NA,0
123,6,27,"E",234,NA,0
124,6,27,"E",165,NA,0
125,6,27,"E",212,NA,0
126,6,27,"E",146,NA,0
127,6,27,"E",159,NA,0
128,6,27,"E",236,NA,0
129,5,28,"E",231,NA,0
130,5,28,"E",230,NA,0
131,5,28,"E",311,NA,0
132,5,28,NA,NA,NA,0
133,5,28,"E",174,NA,0
134,5,29,"E",264,NA,0
135,5,29,"E",145,NA,0
136,5,29,"E",266,NA,0
137,5,29,"E",246,NA,0
138,5,29,"E",129,NA,0
139,4,30,"E",131,NA,0
140,4,30,"E",163,NA,0
141,4,30,"E",212,NA,0
142,4,30,"E",233,NA,0
143,3,31,"E",218,NA,0
144,3,31,"E",172,NA,0
145,3,31,NA,NA,NA,0
146,5,32,"E",161,NA,0
147,5,32,"E",168,NA,0
148,5,32,"E",167,NA,0
149,5,32,"E",109,NA,0
150,5,32,"E",186,NA,0
151,6,33,"E",198,NA,0
152,6,33,"E",254,NA,0
153,6,33,"E",151,NA,0
154,6,33,"E",117,NA,0
155,6,33,"E",220,NA,0
156,6,33,"E",153,NA,0
157,3,34,"E",170,NA,0
158,3,34,"E",170,NA,0
159,3,34,NA,NA,NA,0
160,5,35,"E",222,NA,0
161,5,35,"E",193,NA,0
162,5,35,"E",171,NA,0
163,5,35,"E",198,NA,0
164,5,35,"E",250,NA,0
165,3,36,"E",209,NA,0
166,3,36,"E",247,NA,0
167,3,36,"E",168,NA,0
168,4,37,"E",108,NA,0
169,4,37,"E",171,NA,0
170,4,37,"E",215,NA,0
171,4,37,"E",139,NA,0
172,3,38,"E",188,NA,0
173,3,38,"E",143,NA,0
174,3,38,"E",268,NA,0
175,5,39,"E",275,NA,0
176,5,39,NA,NA,NA,0
177,5,39,"E",163,NA,0
178,5,39,"E",217,NA,0
179,5,39,NA,NA,NA,0
180,5,40,"E",172,NA,0
181,5,40,"E",243,NA,0
182,5,40,"E",218,NA,0
183,5,40,"E",199,NA,0
184,5,40,"E",176,NA,0
185,3,41,"E",221,NA,0
186,3,41,"E",346,NA,0
187,3,41,"E",187,NA,0
188,4,42,NA,NA,NA,0
189,4,42,"E",99,NA,0
190,4,42,NA,NA,NA,0
191,4,42,"E",156,NA,0
192,6,43,"E",312,NA,0
193,6,43,"E",155,NA,0
194,6,43,"E",153,NA,0
195,6,43,"E",139,NA,0
196,6,43,"E",227,NA,0
197,6,43,"E",220,NA,0
198,5,44,"E",317,NA,0
199,5,44,NA,NA,NA,0
200,5,44,"E",143,NA,0
201,5,44,"E",164,NA,0
202,5,44,"E",113,NA,0
203,6,45,"E",246,NA,0
204,6,45,"E",127,NA,0
205,6,45,NA,NA,NA,0
206,6,45,"E",204,NA,0
207,6,45,"E",255,NA,0
208,6,45,"E",173,NA,0
209,6,46,"E",210,NA,0
210,6,46,"E",165,NA,0
211,6,46,"E",204,NA,0
212,6,46,"E",140,NA,0
213,6,46,"E",141,NA,0
214,6,46,"E",337,NA,0
215,4,47,NA,NA,NA,0
216,4,47,"E",227,NA,0
217,4,47,NA,NA,NA,0
218,4,47,"E",224,NA,0
219,6,48,NA,NA,NA,0
220,6,48,"E",246,NA,0
221,6,48,"E",117,NA,0
222,6,48,"E",118,NA,0
223,6,48,"E",114,NA,0
224,6,48,"E",188,NA,0
225,5,49,"E",360,NA,0
226,5,49,"E",154,NA,0
227,5,49,"E",130,NA,0
228,5,49,"E",NA,NA,0
229,5,49,"E",172,NA,0
230,5,50,"E",164,NA,0
231,5,50,"E",132,NA,0
232,5,50,"E",326,NA,0
233,5,50,NA,NA,NA,0
234,5,50,"E",152,NA,0
235,5,51,"E",129,NA,0
236,5,51,"E",235,NA,0
237,5,51,"E",194,NA,0
238,5,51,"E",200,NA,0
239,5,51,"E",181,NA,0
240,3,52,"E",204,NA,0
241,3,52,"E",188,NA,0
242,3,52,"E",127,NA,0
243,6,53,"E",111,NA,0
244,6,53,"E",210,NA,0
245,6,53,"E",169,NA,0
246,6,53,"E",246,NA,0
247,6,53,"E",248,NA,0
248,6,53,"E",162,NA,0
249,6,54,"E",143,NA,0
250,6,54,"E",169,NA,0
251,6,54,"E",236,NA,0
252,6,54,"E",140,NA,0
253,6,54,"E",162,NA,0
254,6,54,"E",239,NA,0
255,5,55,"E",242,NA,0
256,5,55,"E",122,NA,0
257,5,55,"E",359,NA,0
258,5,55,"E",197,NA,0
259,5,55,"E",188,NA,0
260,6,56,"E",186,NA,0
261,6,56,"E",169,NA,0
262,6,56,"E",NA,NA,0
263,6,56,"E",309,NA,0
264,6,56,NA,NA,NA,0
265,6,56,"E",228,NA,0
266,4,57,"E",334,NA,0
267,4,57,"E",143,NA,0
268,4,57,"E",224,NA,0
269,4,57,"E",114,NA,0
270,6,58,"E",246,NA,0
271,6,58,"E",163,NA,0
272,6,58,"E",251,NA,0
273,6,58,"E",123,NA,0
274,6,58,NA,NA,NA,0
275,6,58,"E",338,NA,0
276,4,59,NA,NA,NA,0
277,4,59,"E",236,NA,0
278,4,59,"E",288,NA,0
279,4,59,"E",156,NA,0
280,5,60,"E",193,NA,0
281,5,60,"E",NA,NA,0
282,5,60,"E",211,NA,0
283,5,60,"E",253,NA,0
284,5,60,"E",213,NA,0
285,3,61,"E",153,NA,0
286,3,61,"E",215,NA,0
287,3,61,"E",NA,NA,0
288,3,62,"E",236,NA,0
289,3,62,"E",333,NA,0
290,3,62,"E",228,NA,0
291,3,63,NA,NA,NA,0
