time,res
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0.42
30,0.42
31,0.38
32,0.41
33,0.42
34,0.32
35,0.32
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0.18
58,0.29
59,0.34
60,0.47
61,0.83
62,0.78
63,0.99
64,0.71
65,0.55
66,0.46
67,0.34
68,0.21
69,0.12
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0.06
86,0.19
87,0.24
88,0.41
89,0.71
90,0.94
91,1.28
92,1.4
93,1.7
94,1.58
95,1.35
96,1.44
97,1.03
98,0.91
99,0.66
100,0.38
101,0.24
102,0.19
103,0.05
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0.02
114,0.07
115,0.22
116,0.24
117,0.53
118,0.96
119,1.27
120,1.7
121,2.28
122,2.68
123,2.97
124,3.47
125,3.35
126,3.03
127,2.89
128,2.41
129,1.91
130,1.64
131,1.12
132,0.79
133,0.54
134,0.28
135,0.13
136,0.06
137,0
138,0
139,0
140,0
141,0.01
142,0.02
143,0.1
144,0.11
145,0.33
146,0.62
147,1.01
148,1.52
149,2.49
150,3.34
151,3.96
152,4.39
153,5.85
154,6.45
155,5.97
156,6.3
157,6.28
158,5.56
159,5.21
160,3.9
161,3.18
162,2.68
163,1.76
164,1.44
165,0.85
166,0.53
167,0.3
168,0.07
169,0.06
170,0.02
171,0.04
172,0.07
173,0.16
174,0.34
175,0.74
176,1.19
177,1.76
178,2.25
179,3.88
180,5.1
181,6.47
182,7.15
183,9.29
184,9.46
185,10.6
186,10.43
187,10.11
188,9.89
189,9.16
190,7.95
191,6.81
192,5.84
193,4.61
194,3.36
195,2.37
196,1.92
197,1.28
198,0.79
199,0.45
200,0.28
201,0.16
202,0.18
203,0.32
204,0.65
205,1.19
206,1.45
207,2.13
208,3.33
209,4.51
210,5.97
211,8.02
212,9.47
213,10.83
214,12.42
215,12.63
216,13.59
217,13.18
218,12.61
219,11.88
220,10.96
221,9.7
222,8.47
223,7.35
224,5.76
225,5.03
226,3.43
227,2.58
228,1.91
229,1.21
230,0.76
231,0.66
232,0.41
233,0.68
234,0.68
235,1.09
236,1.32
237,2.15
238,3.17
239,3.88
240,5.41
241,6.57
242,7.85
243,9.55
244,10.48
245,11.12
246,12.09
247,11.86
248,11.41
249,11.03
250,10.14
251,8.89
252,8.54
253,7.32
254,6.45
255,5.01
256,4.04
257,3.27
258,2.68
259,2.2
260,1.43
261,1
262,0.76
263,0.68
264,0.57
265,0.62
266,0.91
267,1.19
268,1.75
269,2.28
270,3.08
271,3.67
272,4.4
273,5.28
274,6.15
275,6.9
276,6.87
277,7.39
278,7.19
279,7.14
280,6.5
281,6.37
282,5.77
283,4.74
284,4.47
285,3.9
286,3.52
287,2.55
288,2.32
289,1.79
290,1.37
291,1.12
292,0.76
293,0.54
294,0.45
295,0.55
296,0.59
297,0.45
298,0.72
299,1.25
300,1.18
301,1.63
302,2.01
303,2.23
304,2.87
305,3.19
306,3.24
307,3.79
308,3.36
309,4.02
310,3.7
311,2.92
312,3.04
313,2.8
314,2.66
315,2.32
316,1.86
317,1.63
318,1.54
319,1.23
320,1
321,0.75
322,0.76
323,0.34
324,0.43
325,0.28
326,0.37
327,0.36
328,0.42
329,0.46
330,0.72
331,0.59
332,0.81
333,1.23
334,1.11
335,1.41
336,1.36
337,1.45
338,1.6
339,1.58
340,1.47
341,1.52
342,1.26
343,1.31
344,1.47
345,1.29
346,1.14
347,0.99
348,0.72
349,0.78
350,0.57
351,0.56
352,0.43
353,0.32
354,0.33
355,0.34
356,0.26
357,0.19
358,0.24
359,0.26
360,0.26
361,0.49
362,0.41
363,0.56
364,0.48
365,0.64
366,0.53
367,0.54
368,0.62
369,0.7
370,0.42
371,0.8
372,0.58
373,0.55
374,0.69
375,0.55
376,0.53
377,0.48
378,0.4
379,0.45
380,0.32
381,0.31
382,0.25
383,0.15
384,0.23
385,0.14
386,0.15
387,0.13
388,0.13
389,0.14
390,0.2
391,0.2
392,0.17
393,0.3
394,0.3
395,0.34
396,0.3
397,0.32
398,0.16
399,0.23
400,0.17
401,0.28
402,0.21
403,0.17
404,0.16
405,0.13
406,0.18
407,0.13
408,0.09
409,0.14
410,0.16
411,0.11
412,0.07
413,0.05
414,0.06
415,0.1
416,0.05
417,0.05
418,0.09
419,0.08
420,0.05
421,0.09
422,0.06
423,0.08
424,0.07
425,0.05
426,0.14
427,0.13
428,0.13
429,0.05
430,0.09
431,0.03
432,0.08
433,0.04
434,0.05
435,0.02
436,0.07
437,0.05
438,0.07
439,0.05
440,0.01
441,0.02
442,0.03
443,0.04
444,0
445,0.01
446,0
447,0.01
448,0.02
449,0
450,0.01
451,0.01
452,0
453,0.01
454,0.02
455,0.02
456,0.04
457,0.03
458,0.02
459,0.02
460,0.02
461,0.03
462,0.02
463,0.01
464,0
465,0.02
466,0.02
467,0
468,0.01
469,0.01
470,0.01
471,0.02
472,0
473,0
474,0
475,0
476,0
477,0.01
478,0
479,0
480,0
481,0
482,0.01
483,0.01
484,0.01
485,0
486,0.01
487,0
488,0
489,0
490,0
491,0
492,0.01
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0.01
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0.01
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
