"ID","SIZE","HH","TYPE","TIME","S_NUM","I_NUM"
1,3,1,"0",NA,NA,0
2,3,1,NA,NA,NA,0
3,3,1,NA,NA,NA,0
4,3,2,NA,NA,NA,0
5,3,2,NA,NA,NA,0
6,3,2,NA,NA,NA,0
7,3,3,NA,NA,NA,0
8,3,3,NA,NA,NA,0
9,3,3,NA,NA,NA,0
10,5,4,NA,NA,NA,0
11,5,4,NA,NA,NA,0
12,5,4,"E",273,3,0
13,5,4,NA,NA,NA,0
14,5,4,"E",89,4,0
15,4,5,NA,NA,NA,0
16,4,5,NA,NA,NA,0
17,4,5,NA,NA,NA,0
18,4,5,NA,NA,NA,0
19,4,6,"E",78,3,1
20,4,6,"H",186,1,0
21,4,6,"H",104,2,1
22,4,6,NA,NA,NA,0
23,4,7,NA,NA,NA,0
24,4,7,"E",46,3,0
25,4,7,NA,NA,NA,0
26,4,7,NA,NA,NA,0
27,4,8,NA,NA,NA,0
28,4,8,NA,NA,NA,0
29,4,8,NA,NA,NA,0
30,4,8,NA,NA,NA,0
31,3,9,NA,NA,NA,0
32,3,9,NA,NA,NA,0
33,3,9,NA,NA,NA,0
34,5,10,NA,NA,NA,0
35,5,10,NA,NA,NA,0
36,5,10,NA,NA,NA,0
37,5,10,NA,NA,NA,0
38,5,10,"E",43,4,0
39,5,11,"H",201,3,0
40,5,11,"E",162,4,1
41,5,11,NA,NA,NA,0
42,5,11,NA,NA,NA,0
43,5,11,NA,NA,NA,0
44,4,12,"E",178,3,0
45,4,12,NA,NA,NA,0
46,4,12,NA,NA,NA,0
47,4,12,NA,NA,NA,0
48,3,13,NA,NA,NA,0
49,3,13,NA,NA,NA,0
50,3,13,"E",267,2,0
51,5,14,"E",225,2,1
52,5,14,"H",271,1,1
53,5,14,"H",206,2,0
54,5,14,"E",179,4,1
55,5,14,"H",301,0,0
56,3,15,"E",141,1,0
57,3,15,"E",181,0,0
58,3,15,"E",39,2,0
59,4,16,NA,NA,NA,0
60,4,16,"E",80,3,0
61,4,16,"E",NA,NA,0
62,4,16,NA,NA,NA,0
63,6,17,"C",319,3,0
64,6,17,NA,NA,NA,0
65,6,17,"E",112,5,0
66,6,17,"E",219,4,0
67,6,17,NA,NA,NA,0
68,6,17,NA,NA,NA,0
69,4,18,"E",90,3,0
70,4,18,"E",187,2,0
71,4,18,NA,NA,NA,0
72,4,18,NA,NA,NA,0
73,3,19,"E",189,2,0
74,3,19,NA,NA,NA,0
75,3,19,NA,NA,NA,0
76,5,20,NA,NA,NA,0
77,5,20,NA,NA,NA,0
78,5,20,NA,NA,NA,0
79,5,20,NA,NA,NA,0
80,5,20,NA,NA,NA,0
81,4,21,NA,NA,NA,0
82,4,21,NA,NA,NA,0
83,4,21,NA,NA,NA,0
84,4,21,"E",76,3,0
85,4,22,NA,NA,NA,0
86,4,22,NA,NA,NA,0
87,4,22,NA,NA,NA,0
88,4,22,NA,NA,NA,0
89,6,23,NA,NA,NA,0
90,6,23,NA,NA,NA,0
91,6,23,"E",66,5,0
92,6,23,NA,NA,NA,0
93,6,23,NA,NA,NA,0
94,6,23,"E",268,4,0
95,6,24,NA,NA,NA,0
96,6,24,NA,NA,NA,0
97,6,24,NA,NA,NA,0
98,6,24,NA,NA,NA,0
99,6,24,NA,NA,NA,0
100,6,24,NA,NA,NA,0
101,5,25,"E",301,4,0
102,5,25,NA,NA,NA,0
103,5,25,NA,NA,NA,0
104,5,25,NA,NA,NA,0
105,5,25,NA,NA,NA,0
106,6,26,NA,NA,NA,0
107,6,26,NA,NA,NA,0
108,6,26,NA,NA,NA,0
109,6,26,NA,NA,NA,0
110,6,26,NA,NA,NA,0
111,6,26,NA,NA,NA,0
112,5,27,NA,NA,NA,0
113,5,27,"C",138,4,0
114,5,27,NA,NA,NA,0
115,5,27,NA,NA,NA,0
116,5,27,NA,NA,NA,0
117,6,28,NA,NA,NA,0
118,6,28,NA,NA,NA,0
119,6,28,NA,NA,NA,0
120,6,28,NA,NA,NA,0
121,6,28,NA,NA,NA,0
122,6,28,NA,NA,NA,0
123,4,29,NA,NA,NA,0
124,4,29,"H",196,2,0
125,4,29,NA,NA,NA,0
126,4,29,"E",167,3,1
127,6,30,"E",40,5,3
128,6,30,"H",62,2,1
129,6,30,NA,NA,NA,0
130,6,30,"H",77,1,0
131,6,30,"H",98,1,0
132,6,30,"H",65,2,0
133,4,31,NA,NA,NA,0
134,4,31,NA,NA,NA,0
135,4,31,NA,NA,NA,0
136,4,31,NA,NA,NA,0
137,4,32,NA,NA,NA,0
138,4,32,NA,NA,NA,0
139,4,32,NA,NA,NA,0
140,4,32,NA,NA,NA,0
141,3,33,NA,NA,NA,0
142,3,33,NA,NA,NA,0
143,3,33,NA,NA,NA,0
144,6,34,NA,NA,NA,0
145,6,34,NA,NA,NA,0
146,6,34,"E",121,5,1
147,6,34,"H",157,4,0
148,6,34,NA,NA,NA,0
149,6,34,NA,NA,NA,0
150,5,35,"E",164,4,0
151,5,35,NA,NA,NA,0
152,5,35,NA,NA,NA,0
153,5,35,NA,NA,NA,0
154,5,35,NA,NA,NA,0
155,6,36,"E",202,4,1
156,6,36,"E",234,3,0
157,6,36,NA,NA,NA,0
158,6,36,NA,NA,NA,0
159,6,36,NA,NA,NA,0
160,6,36,"H",255,3,0
161,4,37,NA,NA,NA,0
162,4,37,"E",151,3,0
163,4,37,"E",NA,NA,0
164,4,37,NA,NA,NA,0
165,6,38,NA,NA,NA,0
166,6,38,NA,NA,NA,0
167,6,38,"E",293,5,0
168,6,38,NA,NA,NA,0
169,6,38,NA,NA,NA,0
170,6,38,NA,NA,NA,0
171,5,39,NA,NA,NA,0
172,5,39,"E",182,3,1
173,5,39,NA,NA,NA,0
174,5,39,"E",62,4,0
175,5,39,"H",228,2,0
176,5,40,NA,NA,NA,0
177,5,40,"H",36,3,0
178,5,40,"E",18,4,1
179,5,40,NA,NA,NA,0
180,5,40,NA,NA,NA,0
181,3,41,"E",113,2,1
182,3,41,"H",129,1,0
183,3,41,NA,NA,NA,0
184,6,42,"E",364,5,0
185,6,42,NA,NA,NA,0
186,6,42,NA,NA,NA,0
187,6,42,NA,NA,NA,0
188,6,42,NA,NA,NA,0
189,6,42,NA,NA,NA,0
190,4,43,"E",108,1,1
191,4,43,"E",41,3,1
192,4,43,"H",58,2,0
193,4,43,"H",130,0,0
194,6,44,"E",301,4,1
195,6,44,NA,NA,NA,0
196,6,44,NA,NA,NA,0
197,6,44,"H",353,3,0
198,6,44,NA,NA,NA,0
199,6,44,"E",334,3,0
200,6,45,NA,NA,NA,0
201,6,45,"E",61,5,0
202,6,45,"E",297,4,0
203,6,45,NA,NA,NA,0
204,6,45,NA,NA,NA,0
205,6,45,NA,NA,NA,0
206,6,46,NA,NA,NA,0
207,6,46,NA,NA,NA,0
208,6,46,"E",186,5,1
209,6,46,NA,NA,NA,0
210,6,46,NA,NA,NA,0
211,6,46,"H",209,4,0
212,6,47,"H",284,2,0
213,6,47,"E",281,2,0
214,6,47,NA,NA,NA,0
215,6,47,NA,NA,NA,0
216,6,47,"H",277,2,0
217,6,47,"E",237,4,2
218,3,48,NA,NA,NA,0
219,3,48,"E",329,1,0
220,3,48,"E",38,2,0
221,5,49,"E",71,3,1
222,5,49,"E",53,3,0
223,5,49,NA,NA,NA,0
224,5,49,NA,NA,NA,0
225,5,49,"H",98,2,0
226,4,50,NA,NA,NA,0
227,4,50,NA,NA,NA,0
228,4,50,NA,NA,NA,0
229,4,50,NA,NA,NA,0
230,6,51,NA,NA,NA,0
231,6,51,NA,NA,NA,0
232,6,51,NA,NA,NA,0
233,6,51,NA,NA,NA,0
234,6,51,NA,NA,NA,0
235,6,51,NA,NA,NA,0
236,4,52,"E",109,2,0
237,4,52,NA,NA,NA,0
238,4,52,"E",359,1,0
239,4,52,"E",103,2,0
240,5,53,NA,NA,NA,0
241,5,53,NA,NA,NA,0
242,5,53,NA,NA,NA,0
243,5,53,"E",303,3,0
244,5,53,"E",57,4,0
245,4,54,NA,NA,NA,0
246,4,54,"E",305,2,0
247,4,54,NA,NA,NA,0
248,4,54,"E",168,3,0
249,5,55,NA,NA,NA,0
250,5,55,NA,NA,NA,0
251,5,55,NA,NA,NA,0
252,5,55,NA,NA,NA,0
253,5,55,NA,NA,NA,0
254,4,56,"E",68,3,1
255,4,56,NA,NA,NA,0
256,4,56,"H",84,2,0
257,4,56,NA,NA,NA,0
258,4,57,NA,NA,NA,0
259,4,57,NA,NA,NA,0
260,4,57,"E",64,3,0
261,4,57,NA,NA,NA,0
262,6,58,NA,NA,NA,0
263,6,58,NA,NA,NA,0
264,6,58,"E",336,5,0
265,6,58,NA,NA,NA,0
266,6,58,NA,NA,NA,0
267,6,58,NA,NA,NA,0
268,4,59,"E",327,3,0
269,4,59,NA,NA,NA,0
270,4,59,NA,NA,NA,0
271,4,59,NA,NA,NA,0
272,5,60,"E",126,4,0
273,5,60,NA,NA,NA,0
274,5,60,NA,NA,NA,0
275,5,60,"E",209,3,0
276,5,60,NA,NA,NA,0
277,5,61,"E",270,4,0
278,5,61,NA,NA,NA,0
279,5,61,NA,NA,NA,0
280,5,61,NA,NA,NA,0
281,5,61,NA,NA,NA,0
282,5,62,NA,NA,NA,0
283,5,62,NA,NA,NA,0
284,5,62,NA,NA,NA,0
285,5,62,NA,NA,NA,0
286,5,62,NA,NA,NA,0
287,4,63,"E",255,3,0
288,4,63,"E",NA,NA,0
289,4,63,NA,NA,NA,0
290,4,63,NA,NA,NA,0
291,3,64,NA,NA,NA,0
292,3,64,NA,NA,NA,0
293,3,64,NA,NA,NA,0
294,4,65,NA,NA,NA,0
295,4,65,NA,NA,NA,0
296,4,65,NA,NA,NA,0
297,4,65,NA,NA,NA,0
298,3,66,"E",105,2,0
299,3,66,NA,NA,NA,0
300,3,66,NA,NA,NA,0
301,6,67,"E",155,5,1
302,6,67,NA,NA,NA,0
303,6,67,NA,NA,NA,0
304,6,67,NA,NA,NA,0
305,6,67,NA,NA,NA,0
306,6,67,"H",185,4,0
307,6,68,NA,NA,NA,0
308,6,68,NA,NA,NA,0
309,6,68,NA,NA,NA,0
310,6,68,"C",286,4,0
311,6,68,"E",134,5,0
312,6,68,NA,NA,NA,0
313,4,69,NA,NA,NA,0
314,4,69,NA,NA,NA,0
315,4,69,NA,NA,NA,0
316,4,69,NA,NA,NA,0
317,3,70,"E",152,2,1
318,3,70,NA,NA,NA,0
319,3,70,"H",183,1,0
320,4,71,NA,NA,NA,0
321,4,71,"E",83,3,0
322,4,71,NA,NA,NA,0
323,4,71,NA,NA,NA,0
324,6,72,NA,NA,NA,0
325,6,72,NA,NA,NA,0
326,6,72,NA,NA,NA,0
327,6,72,NA,NA,NA,0
328,6,72,"E",162,5,0
329,6,72,NA,NA,NA,0
330,4,73,NA,NA,NA,0
331,4,73,NA,NA,NA,0
332,4,73,NA,NA,NA,0
333,4,73,NA,NA,NA,0
334,5,74,"C",122,4,0
335,5,74,NA,NA,NA,0
336,5,74,NA,NA,NA,0
337,5,74,NA,NA,NA,0
338,5,74,NA,NA,NA,0
339,3,75,NA,NA,NA,0
340,3,75,NA,NA,NA,0
341,3,75,NA,NA,NA,0
342,5,76,"E",128,2,0
343,5,76,"E",19,4,0
344,5,76,"E",45,3,0
345,5,76,NA,NA,NA,0
346,5,76,NA,NA,NA,0
347,4,77,NA,NA,NA,0
348,4,77,NA,NA,NA,0
349,4,77,NA,NA,NA,0
350,4,77,NA,NA,NA,0
351,5,78,"E",NA,NA,0
352,5,78,NA,NA,NA,0
353,5,78,NA,NA,NA,0
354,5,78,"E",217,3,0
355,5,78,"E",104,4,0
356,6,79,NA,NA,NA,0
357,6,79,NA,NA,NA,0
358,6,79,NA,NA,NA,0
359,6,79,NA,NA,NA,0
360,6,79,NA,NA,NA,0
361,6,79,"E",120,5,0
362,4,80,NA,NA,NA,0
363,4,80,NA,NA,NA,0
364,4,80,NA,NA,NA,0
365,4,80,NA,NA,NA,0
366,6,81,"E",148,5,1
367,6,81,NA,NA,NA,0
368,6,81,NA,NA,NA,0
369,6,81,NA,NA,NA,0
370,6,81,"H",186,4,0
371,6,81,NA,NA,NA,0
372,4,82,NA,NA,NA,0
373,4,82,NA,NA,NA,0
374,4,82,"E",142,3,0
375,4,82,NA,NA,NA,0
376,6,83,NA,NA,NA,0
377,6,83,NA,NA,NA,0
378,6,83,NA,NA,NA,0
379,6,83,NA,NA,NA,0
380,6,83,NA,NA,NA,0
381,6,83,NA,NA,NA,0
382,6,84,"H",201,3,1
383,6,84,NA,NA,NA,0
384,6,84,NA,NA,NA,0
385,6,84,"H",231,2,0
386,6,84,"E",184,4,1
387,6,84,"E",68,5,0
388,6,85,NA,NA,NA,0
389,6,85,"E",96,5,0
390,6,85,NA,NA,NA,0
391,6,85,NA,NA,NA,0
392,6,85,NA,NA,NA,0
393,6,85,"E",229,4,0
394,4,86,NA,NA,NA,0
395,4,86,NA,NA,NA,0
396,4,86,NA,NA,NA,0
397,4,86,NA,NA,NA,0
398,5,87,NA,NA,NA,0
399,5,87,NA,NA,NA,0
400,5,87,NA,NA,NA,0
401,5,87,NA,NA,NA,0
402,5,87,NA,NA,NA,0
403,5,88,"H",358,2,0
404,5,88,NA,NA,NA,0
405,5,88,"E",215,4,1
406,5,88,"H",277,3,1
407,5,88,NA,NA,NA,0
408,5,89,NA,NA,NA,0
409,5,89,NA,NA,NA,0
410,5,89,NA,NA,NA,0
411,5,89,"E",277,4,0
412,5,89,NA,NA,NA,0
413,5,90,NA,NA,NA,0
414,5,90,"E",52,4,0
415,5,90,NA,NA,NA,0
416,5,90,NA,NA,NA,0
417,5,90,"E",NA,NA,0
418,3,91,NA,NA,NA,0
419,3,91,NA,NA,NA,0
420,3,91,"E",NA,NA,0
421,3,92,"E",236,2,0
422,3,92,NA,NA,NA,0
423,3,92,NA,NA,NA,0
424,5,93,"E",109,3,0
425,5,93,NA,NA,NA,0
426,5,93,NA,NA,NA,0
427,5,93,"E",62,4,0
428,5,93,NA,NA,NA,0
429,5,94,NA,NA,NA,0
430,5,94,NA,NA,NA,0
