"","V1","V2","V3"
"1",0.523809523809524,0.5,0.250088850233683
"2",0.559322033898305,0.542372881355932,0.0613919154988374
"3",0,0,NA
"4",0.487179487179487,0.41025641025641,0.178906363586594
"5",0,0,NA
"6",0.428571428571429,0.285714285714286,0.416679779797787
"7",0.538461538461538,0.519230769230769,0.20976698085502
"8",0.573170731707317,0.536585365853659,0.0644363090222996
"9",0.333333333333333,0,1.21870502776071e-11
"10",0.4,0.4,0.499999999993513
"11",0,0,NA
"12",0.333333333333333,0.333333333333333,0.00102537176995869
"13",0.75,0.75,1
"14",0.428571428571429,0.285714285714286,0.5
"15",0.566666666666667,0.433333333333333,0.158095643169055
"16",0.641509433962264,0.584905660377358,0.241019708513614
"17",0.619718309859155,0.563380281690141,0.174176180811887
"18",0,0,NA
"19",0.5,0.5,0.666024421778891
"20",0,0,NA
"21",0.615384615384615,0.538461538461538,0.0938709511953927
"22",0.75,0.625,0.728409075169357
"23",0.630434782608696,0.521739130434783,0.145771757236854
"24",0,0,NA
"25",0.585365853658537,0.569105691056911,0.0799193581205055
"26",0.566666666666667,0.585714285714286,0.0514582670839366
"27",0.333333333333333,0,0.199999999999974
"28",0.444444444444444,0.555555555555556,0.270062505733886
"29",0.5,0.5,1
"30",0.590909090909091,0.5,0.421564696272087
"31",0.560747663551402,0.504672897196262,0.101421363188026
"32",0.557251908396947,0.526717557251908,0.0791462479088119
"33",0.6,0.566666666666667,0.288652041521302
"34",0.541666666666667,0.520833333333333,0.215731006618908
"35",0.6,0.6,0.749967162050734
"36",0,0,0
"37",0,0,NA
"38",0,0,NA
"39",0.549019607843137,0.542483660130719,0.085937302190765
"40",0.666666666666667,0.666666666666667,0.799999892624999
"41",0,0,NA
"42",0,0,NA
"43",0.594594594594595,0.576576576576577,0.128226471704385
"44",0.536585365853659,0.48780487804878,0.163711326763241
"45",0.549019607843137,0.490196078431373,0.104235584087128
"46",0,0,NA
"47",0.5,0.25,0.319304121793103
"48",0.52112676056338,0.492957746478873,0.10898559117831
"49",0.540880503144654,0.50314465408805,0.0512078613533211
"50",0.519480519480519,0.519480519480519,0.0918672327860448
"51",0,0,NA
"52",0.56969696969697,0.521212121212121,0.0752495913746718
"53",0.607734806629834,0.558011049723757,0.0597835073010363
"54",0.571428571428571,0.476190476190476,0.452264394725213
"55",0.25,0,0.333333333333333
"56",0.5,0.375,0.571428571428571
"57",0.602803738317757,0.565420560747664,0.065065228310315
"58",0.607142857142857,0.535714285714286,0.171304620164169
"59",0,0,NA
"60",0.65,0.65,0.584473549769171
"61",0.666666666666667,0.5,0.358731188591082
"62",0.708333333333333,0.625,0.472344071504997
"63",0,0,NA
"64",0.588235294117647,0.529411764705882,0.423408232799024
"65",0.574468085106383,0.531914893617021,0.15786128145737
"66",0,0,NA
"67",0.642857142857143,0.571428571428571,0.180255731172967
"68",0.53125,0.5,0.076604399388957
"69",0,0,NA
"70",0.60377358490566,0.566037735849057,0.0776637983933142
"71",0.565217391304348,0.514492753623188,0.0783168019032699
"72",0.647058823529412,0.529411764705882,0.350783338639818
"73",0.590697674418605,0.544186046511628,0.0513247878744406
"74",0.666666666666667,0.666666666666667,0.799998612250485
"75",0.588235294117647,0.470588235294118,0.42140368707158
"76",0.59,0.55,0.102701800261565
"77",0.65625,0.614583333333333,0.145300473697277
"78",0,0,NA
"79",0.5,0.5,1
"80",0.533333333333333,0.5,0.158751039894744
"81",0,0,NA
"82",0.538461538461538,0.505494505494505,0.104282215204594
"83",0.564516129032258,0.451612903225806,0.16622768665183
"84",0.566666666666667,0.533333333333333,0.106609789953307
"85",0,0,NA
"86",0.576271186440678,0.559322033898305,0.206442421898971
"87",0.5,0.5,1
"88",0,0,NA
"89",0.52,0.5,0.0637905818793249
"90",0,0,NA
"91",0.573913043478261,0.547826086956522,0.107726304789749
"92",0.571428571428571,0.53968253968254,0.147856628868879
"93",0,0,0
"94",0.619047619047619,0.523809523809524,0.379404170606202
"95",0.692307692307692,0.615384615384615,0.749999974845222
"96",0.533333333333333,0.48,0.115939110719175
"97",0.333333333333333,0,0.000122684740271311
"98",0.833333333333333,0.833333333333333,1
"99",0.461538461538462,0.430769230769231,0.117557637427894
"100",0.540540540540541,0.513513513513513,0.0948044981460425
"101",0.75,0.75,1
"102",0.611650485436893,0.572815533980582,0.113064645428933
"103",0.5,0.333333333333333,0.599997702510818
"104",0.528301886792453,0.415094339622642,0.0948057071864658
"105",0.483870967741935,0.483870967741935,0.304637715546343
"106",0.5,0.5,1
"107",0,0,NA
"108",0.63953488372093,0.569767441860465,0.133179316601549
"109",0.5,0.25,0.168777991039664
"110",0.556338028169014,0.514084507042254,0.0669526213577088
"111",0.714285714285714,0.714285714285714,0.479161437302782
"112",0.542372881355932,0.406779661016949,0.102165413230574
"113",0.595744680851064,0.553191489361702,0.188898605185163
"114",0.511627906976744,0.441860465116279,0.240831958406649
"115",0.62,0.5,0.213224239075561
"116",0,0,NA
