"V1","V2"
0.001,0
0.001,0
0.001,0
0.329,0.175950054288816
0.448,0.185679012345679
0.095,0.170609318996416
0.234,0.184485407066052
0.401,0.189858906525573
0.339,0.177900843881857
0.379,0.170833333333333
0.443,0.167919799498747
0.448,0.198143564356436
0.493,0.178709917971663
0.005,0.0666666666666667
0.271,0.170638020833333
0.346,0.187642782969886
0.198,0.184380453752182
0.262,0.177689243027888
0.001,0
0.546,0.160973936899863
0.005,0.5
0.001,0
0.569,0.178179384203481
0.292,0.184519350811486
0.38,0.195202769535114
0.124,0.164265536723164
0.315,0.181408140814081
0.392,0.171344232515895
0.428,0.192573402417962
0.241,0.135390070921986
0.341,0.201375661375661
0.524,0.194014336917563
0.003,0.75
0.002,0
0.008,0.0979166666666667
0.001,0
0.001,0
0.563,0.201180836707153
0.002,0.125
0.425,0.176495726495727
0.002,0
0.001,0
0.239,0.199086757990868
0.466,0.180726698262243
0.552,0.19474030243261
0.329,0.179220085470085
0.001,0
0.013,0.108974358974359
0.215,0.212886597938144
0.007,0.305555555555556
0.002,0.1
0.507,0.195897435897436
0.344,0.182861635220126
0.003,0
0.43,0.186901763224181
0.316,0.195700824499411
0.001,0
0.412,0.172932985204526
0.639,0.1939448441247
0.482,0.187471783295711
0.323,0.185284280936455
0.469,0.194980392156863
0.001,0
0.604,0.178540100250627
0.416,0.184880636604775
0.001,0
0.264,0.192133333333333
0.504,0.19985152190052
0.337,0.192705005324814
0.234,0.197842261904762
0.3,0.216488095238095
0.272,0.178805774278215
0.009,0.101851851851852
0.086,0.213636363636364
0.198,0.182552083333333
0.216,0.17411003236246
0.444,0.185131894484412
0.163,0.166772823779193
0.435,0.177679324894515
0.001,0
0.487,0.177321156773212
0.396,0.189712488769093
0.145,0.195580808080808
0.048,0.214015151515152
0.001,0
0.235,0.168888888888889
0.434,0.17921967769296
0.472,0.17400153609831
0.297,0.180264741275572
0.593,0.186761006289308
0.182,0.155959031657356
0.001,0
0.002,0
0.001,0
0.515,0.189687726942629
0.541,0.195553221288515
0.176,0.151356589147287
0.251,0.165625
0.365,0.201551551551552
0.002,0.166666666666667
0.001,0
0.2,0.196869244935543
0.001,0
0.144,0.203086419753086
0.001,0
0.001,0
0.003,0.0666666666666667
0.041,0.177350427350427
0.008,0.0875
0.001,0
0.598,0.197568093385214
0.145,0.18578431372549
0.554,0.187968643490116
0.35,0.193660531697342
0.619,0.165858208955224
0.002,0
0.003,0.0666666666666667
0.001,0
0.001,0
0.335,0.160501567398119
0.001,0
0.437,0.166212871287129
0.006,0.108333333333333
0.521,0.176800847457627
0.391,0.174953183520599
0.549,0.176938369781312
0.254,0.167986111111111
0.539,0.186496598639456
0.001,0
0.172,0.183847736625514
0.004,0.0625
0.007,0.0642857142857143
0.001,0
0.246,0.211769005847953
0.001,0
0.039,0.177927927927928
0.001,0
0.31,0.18054587688734
0.28,0.189480354879594
0.589,0.183644278606965
0.001,0
0.142,0.19037037037037
