"ID" "SIZE" "HH" "TYPE" "TIME" "S_num" "I_num"
"1" 1 5 1 "0" 39 3 0
"2" 2 5 1 "E" 117 0 0
"3" 3 5 1 "E" 54 2 1
"4" 4 5 1 "E" 71 1 0
"5" 5 5 1 "E" 77 1 0
"6" 6 5 2 "E" 62 1 0
"7" 7 5 2 "E" 82 1 0
"8" 8 5 2 "E" 245 0 0
"9" 9 5 2 "E" 83 1 0
"10" 10 5 2 "E" 67 1 0
"11" 11 5 3 "E" 68 3 0
"12" 12 5 3 "E" 132 0 0
"13" 13 5 3 "E" 59 3 0
"14" 14 5 3 "E" 143 0 0
"15" 15 5 3 "E" 122 0 0
"16" 16 4 4 "E" 109 0 0
"17" 17 4 4 "E" 97 0 0
"18" 18 4 4 "E" 139 0 0
"19" 19 4 4 "E" 107 0 0
"20" 20 6 5 "E" 96 2 0
"21" 21 6 5 "E" 149 1 0
"22" 22 6 5 "E" 171 1 0
"23" 23 6 5 "E" 37 5 0
"24" 24 6 5 "E" 93 2 0
"25" 25 6 5 "E" 225 0 0
"26" 26 4 6 "E" 98 0 0
"27" 27 4 6 "E" 40 2 0
"28" 28 4 6 "E" 110 0 0
"29" 29 4 6 "E" 89 0 0
"30" 30 4 7 "E" 160 0 0
"31" 31 4 7 "E" 61 2 0
"32" 32 4 7 "E" 169 0 0
"33" 33 4 7 "E" 79 2 0
"34" 34 3 8 "E" 292 0 0
"35" 35 3 8 "E" 146 1 0
"36" 36 3 8 "E" 67 2 0
"37" 37 6 9 "E" 340 0 0
"38" 38 6 9 "E" 296 0 0
"39" 39 6 9 "E" 74 2 0
"40" 40 6 9 "E" 96 2 0
"41" 41 6 9 "E" 43 4 1
"42" 42 6 9 "E" 40 4 0
"43" 43 3 10 "E" 93 1 1
"44" 44 3 10 "E" 54 2 1
"45" 45 3 10 "E" 116 0 0
"46" 46 5 11 "E" 42 4 1
"47" 47 5 11 "E" 110 2 0
"48" 48 5 11 "E" 337 0 0
"49" 49 5 11 "E" 69 2 0
"50" 50 5 11 "E" 235 1 0
"51" 51 4 12 "E" 87 2 0
"52" 52 4 12 "E" 175 0 0
"53" 53 4 12 "E" 58 2 0
"54" 54 4 12 "E" 157 0 0
"55" 55 6 13 "E" 128 1 0
"56" 56 6 13 "E" 49 4 0
"57" 57 6 13 "E" 80 3 0
