"ID" "SIZE" "HH" "TYPE" "TIME" "S_NUM" "I_NUM"
"164" 164 5 36 NA NA NA 0
"165" 165 5 36 NA NA NA 0
"166" 166 6 37 NA NA NA 0
"167" 167 6 37 NA NA NA 0
"168" 168 6 37 NA NA NA 0
"169" 169 6 37 "C" NA NA 0
"170" 170 6 37 NA NA NA 0
"171" 171 6 37 NA NA NA 0
"172" 172 5 38 NA NA NA 0
"173" 173 5 38 NA NA NA 0
"174" 174 5 38 NA NA NA 0
"175" 175 5 38 NA NA NA 0
"176" 176 5 38 NA NA NA 0
"177" 177 5 39 "C" NA NA 0
"178" 178 5 39 NA NA NA 0
"179" 179 5 39 NA NA NA 0
"180" 180 5 39 NA NA NA 0
"181" 181 5 39 NA NA NA 0
"182" 182 3 40 NA NA NA 0
"183" 183 3 40 NA NA NA 0
"184" 184 3 40 NA NA NA 0
"185" 185 4 41 NA NA NA 0
"186" 186 4 41 NA NA NA 0
"187" 187 4 41 NA NA NA 0
"188" 188 4 41 NA NA NA 0
"189" 189 4 42 NA NA NA 0
"190" 190 4 42 NA NA NA 0
"191" 191 4 42 NA NA NA 0
"192" 192 4 42 NA NA NA 0
"193" 193 5 43 NA NA NA 0
"194" 194 5 43 NA NA NA 0
"195" 195 5 43 NA NA NA 0
"196" 196 5 43 NA NA NA 0
"197" 197 5 43 NA NA NA 0
"198" 198 5 44 "H" 238 2 1
"199" 199 5 44 "H" 256 1 0
"200" 200 5 44 NA NA NA 0
"201" 201 5 44 "H" 290 1 0
"202" 202 5 44 "C" 215 4 2
"203" 203 5 45 "H" 304 2 1
"204" 204 5 45 "C" 247 3 0
"205" 205 5 45 NA NA NA 0
"206" 206 5 45 "H" 331 1 0
"207" 207 5 45 "C" 277 3 1
"208" 208 3 46 NA NA NA 0
"209" 209 3 46 NA NA NA 0
"210" 210 3 46 NA NA NA 0
"211" 211 3 47 NA NA NA 0
"212" 212 3 47 NA NA NA 0
"213" 213 3 47 NA NA NA 0
"214" 214 6 48 "C" 329 5 1
"215" 215 6 48 "H" NA NA 0
"216" 216 6 48 "H" NA NA 0
"217" 217 6 48 "H" NA NA 0
"218" 218 6 48 NA NA NA 0
"219" 219 6 48 "C" 355 3 2
"220" 220 3 49 NA NA NA 0
"221" 221 3 49 NA NA NA 0
"222" 222 3 49 "C" 329 2 0
"223" 223 3 50 NA NA NA 0
"224" 224 3 50 NA NA NA 0
"225" 225 3 50 NA NA NA 0
"226" 226 4 51 NA NA NA 0
"227" 227 4 51 NA NA NA 0
"228" 228 4 51 NA NA NA 0
"229" 229 4 51 NA NA NA 0
"230" 230 5 52 NA NA NA 0
"231" 231 5 52 NA NA NA 0
"232" 232 5 52 NA NA NA 0
"233" 233 5 52 NA NA NA 0
"234" 234 5 52 NA NA NA 0
"235" 235 6 53 NA NA NA 0
"236" 236 6 53 NA NA NA 0
"237" 237 6 53 NA NA NA 0
"238" 238 6 53 NA NA NA 0
"239" 239 6 53 NA NA NA 0
"240" 240 6 53 NA NA NA 0
"241" 241 6 54 "C" 287 5 0
"242" 242 6 54 NA NA NA 0
"243" 243 6 54 "C" 319 4 0
"244" 244 6 54 NA NA NA 0
"245" 245 6 54 NA NA NA 0
"246" 246 6 54 NA NA NA 0
"247" 247 5 55 "H" NA NA 0
"248" 248 5 55 "H" 363 1 0
"249" 249 5 55 "C" 311 4 2
"250" 250 5 55 NA NA NA 0
"251" 251 5 55 "H" 349 2 1
"252" 252 6 56 "H" 363 2 0
"253" 253 6 56 "C" 328 4 1
"254" 254 6 56 NA NA NA 0
"255" 255 6 56 NA NA NA 0
"256" 256 6 56 "C" 344 3 1
"257" 257 6 56 "H" 360 2 0
"258" 258 3 57 NA NA NA 0
"259" 259 3 57 NA NA NA 0
"260" 260 3 57 NA NA NA 0
"261" 261 3 58 NA NA NA 0
"262" 262 3 58 NA NA NA 0
"263" 263 3 58 NA NA NA 0
"264" 264 6 59 NA NA NA 0
"265" 265 6 59 "H" NA NA 0
"266" 266 6 59 NA NA NA 0
"267" 267 6 59 NA NA NA 0
"268" 268 6 59 "C" 347 5 2
"269" 269 6 59 "H" NA NA 0
"270" 270 3 60 NA NA NA 0
"271" 271 3 60 NA NA NA 0
"272" 272 3 60 NA NA NA 0
"273" 273 6 61 NA NA NA 0
"274" 274 6 61 NA NA NA 0
"275" 275 6 61 NA NA NA 0
"276" 276 6 61 NA NA NA 0
"277" 277 6 61 NA NA NA 0
"278" 278 6 61 NA NA NA 0
"279" 279 3 62 NA NA NA 0
"280" 280 3 62 NA NA NA 0
"281" 281 3 62 NA NA NA 0
"282" 282 6 63 "C" 95 5 1
"283" 283 6 63 NA NA NA 0
"284" 284 6 63 "H" 128 4 1
"285" 285 6 63 NA NA NA 0
"286" 286 6 63 "H" 153 3 1
"287" 287 6 63 "H" 191 2 0
"288" 288 6 64 NA NA NA 0
"289" 289 6 64 NA NA NA 0
"290" 290 6 64 NA NA NA 0
"291" 291 6 64 NA NA NA 0
