"ID" "SIZE" "HH" "TYPE" "TIME" "S_num" "I_num"
"139" 139 4 32 "E" 39 3 0
"140" 140 4 32 "E" 171 1 0
"141" 141 4 32 "E" 251 0 0
"142" 142 3 33 "E" 197 0 0
"143" 143 3 33 "E" 87 1 0
"144" 144 3 33 "E" 64 2 1
"145" 145 3 34 "E" 83 2 1
"146" 146 3 34 "E" 168 0 0
"147" 147 3 34 "E" 107 1 0
"148" 148 5 35 NA NA NA 0
"149" 149 5 35 "E" 71 2 0
"150" 150 5 35 "E" 74 2 0
"151" 151 5 35 "E" 155 1 0
"152" 152 5 35 "E" 100 2 0
"153" 153 6 36 "E" 107 3 0
"154" 154 6 36 "E" 189 1 0
"155" 155 6 36 "E" 152 2 1
"156" 156 6 36 "E" 292 0 0
"157" 157 6 36 "E" 60 5 0
"158" 158 6 36 "E" 139 2 0
"159" 159 4 37 "E" 51 1 1
"160" 160 4 37 "E" 56 1 0
"161" 161 4 37 "E" 86 0 0
"162" 162 4 37 "E" 44 1 0
"163" 163 4 38 "E" 73 2 1
"164" 164 4 38 "E" 158 0 0
"165" 165 4 38 "E" 95 1 0
"166" 166 4 38 "E" 115 1 0
"167" 167 6 39 "E" 46 2 0
"168" 168 6 39 "E" 210 1 0
"169" 169 6 39 "E" 56 2 0
"170" 170 6 39 "E" NA NA 0
"171" 171 6 39 "E" 29 2 0
"172" 172 6 39 "E" 65 2 0
"173" 173 5 40 "E" 82 1 0
"174" 174 5 40 "E" 90 1 0
"175" 175 5 40 "E" 52 3 1
"176" 176 5 40 "E" 69 2 1
"177" 177 5 40 "E" 138 0 0
"178" 178 6 41 "E" 155 1 0
"179" 179 6 41 "E" 74 3 0
"180" 180 6 41 "E" 93 3 0
"181" 181 6 41 "E" 45 4 1
"182" 182 6 41 "E" 148 1 0
"183" 183 6 41 "E" 271 0 0
"184" 184 5 42 "E" 121 1 0
"185" 185 5 42 "E" 176 0 0
"186" 186 5 42 "E" 95 2 0
"187" 187 5 42 "E" 89 2 0
"188" 188 5 42 "E" 137 0 0
"189" 189 4 43 "E" 101 2 0
"190" 190 4 43 "E" 222 0 0
"191" 191 4 43 "E" 259 0 0
"192" 192 4 43 "E" 67 3 0
"193" 193 5 44 "E" 39 2 0
"194" 194 5 44 "E" 265 0 0
"195" 195 5 44 "E" 127 1 0
"196" 196 5 44 "E" 49 2 0
"197" 197 5 44 "E" 56 2 0
"198" 198 5 45 "E" 86 2 0
"199" 199 5 45 "E" 78 2 0
"200" 200 5 45 "E" 245 0 0
"201" 201 5 45 "E" 187 1 0
"202" 202 5 45 "E" 80 2 0
"203" 203 4 46 "E" 170 1 0
"204" 204 4 46 "E" NA NA 0
"205" 205 4 46 "E" 125 2 0
"206" 206 4 46 "E" 48 3 0
"207" 207 6 47 "E" 91 0 0
"208" 208 6 47 "E" 102 0 0
"209" 209 6 47 "E" 43 3 1
"210" 210 6 47 "E" 57 2 0
"211" 211 6 47 "E" 55 2 0
"212" 212 6 47 "E" 59 2 0
"213" 213 4 48 "E" 181 1 0
"214" 214 4 48 "E" 334 0 0
"215" 215 4 48 "E" 58 2 0
"216" 216 4 48 "E" 28 3 1
"217" 217 5 49 "E" 60 1 0
"218" 218 5 49 "E" 98 1 0
"219" 219 5 49 "E" 54 2 1
"220" 220 5 49 "E" 132 0 0
"221" 221 5 49 "E" 35 3 0
"222" 222 5 50 "E" 57 3 0
"223" 223 5 50 "E" 41 3 0
"224" 224 5 50 "E" 315 0 0
"225" 225 5 50 "E" 192 1 0
"226" 226 5 50 "E" 189 1 0
"227" 227 5 51 "E" 130 2 0
"228" 228 5 51 "E" 46 3 0
"229" 229 5 51 "E" 233 0 0
"230" 230 5 51 "E" 205 1 1
"231" 231 5 51 "E" 54 3 0
"232" 232 6 52 "E" 92 2 0
"233" 233 6 52 "E" 158 1 0
"234" 234 6 52 "E" 102 2 0
"235" 235 6 52 NA NA NA 0
"236" 236 6 52 "E" 43 5 0
"237" 237 6 52 "E" 77 2 0
"238" 238 5 53 "E" 103 0 0
"239" 239 5 53 "E" 59 3 1
"240" 240 5 53 "E" 84 2 1
"241" 241 5 53 "E" 143 0 0
"242" 242 5 53 "E" 117 0 0
"243" 243 4 54 "E" 104 1 0
"244" 244 4 54 "E" 72 2 1
"245" 245 4 54 "E" 180 0 0
"246" 246 4 54 "E" 49 2 0
"247" 247 3 55 "E" 171 0 0
"248" 248 3 55 "E" 114 1 0
"249" 249 3 55 "E" 80 1 0
"250" 250 5 56 "E" 90 1 0
"251" 251 5 56 "E" 44 2 0
"252" 252 5 56 "E" 140 0 0
"253" 253 5 56 "E" 75 1 0
"254" 254 5 56 "E" 56 2 1
"255" 255 4 57 "E" 135 2 0
"256" 256 4 57 "E" 195 0 0
"257" 257 4 57 "E" 212 0 0
"258" 258 4 57 "E" 115 2 0
"259" 259 5 58 "E" 84 0 0
"260" 260 5 58 "E" 80 0 0
"261" 261 5 58 "E" 40 3 0
