"ID","SIZE","HH","TYPE","TIME","S_NUM","I_NUM"
1,5,1,"0",10,4,2
2,5,1,"H",63,2,1
3,5,1,"H",65,1,0
4,5,1,NA,NA,NA,0
5,5,1,"H",101,1,0
6,4,2,NA,NA,NA,0
7,4,2,NA,NA,NA,0
8,4,2,NA,NA,NA,0
9,4,2,NA,NA,NA,0
10,3,3,NA,NA,NA,0
11,3,3,NA,NA,NA,0
12,3,3,NA,NA,NA,0
13,6,4,"H",316,2,0
14,6,4,"H",299,4,2
15,6,4,"H",325,2,1
16,6,4,NA,NA,NA,0
17,6,4,"C",272,5,1
18,6,4,"H",352,1,0
19,6,5,"C",344,5,2
20,6,5,"H",NA,NA,0
21,6,5,NA,NA,NA,0
22,6,5,"H",NA,NA,0
23,6,5,NA,NA,NA,0
24,6,5,NA,NA,NA,0
25,6,6,"H",338,1,0
26,6,6,"C",308,4,3
27,6,6,"H",352,0,0
28,6,6,"H",NA,NA,0
29,6,6,"H",346,1,1
30,6,6,"C",346,1,0
31,6,7,NA,NA,NA,0
32,6,7,NA,NA,NA,0
33,6,7,NA,NA,NA,0
34,6,7,NA,NA,NA,0
35,6,7,NA,NA,NA,0
36,6,7,NA,NA,NA,0
37,4,8,NA,NA,NA,0
38,4,8,"C",NA,NA,0
39,4,8,"H",344,2,0
40,4,8,"C",304,3,1
41,6,9,"C",302,5,2
42,6,9,"H",341,2,0
43,6,9,"H",327,3,1
44,6,9,NA,NA,NA,0
45,6,9,"H",NA,NA,0
46,6,9,NA,NA,NA,0
47,3,10,"C",340,1,1
48,3,10,"C",262,2,0
49,3,10,"H",NA,NA,0
50,6,11,"H",268,0,0
51,6,11,"H",260,1,1
52,6,11,"H",254,2,1
53,6,11,"C",221,5,3
54,6,11,"H",281,0,0
55,6,11,"H",268,0,0
56,4,12,NA,NA,NA,0
57,4,12,NA,NA,NA,0
58,4,12,"C",NA,NA,0
59,4,12,"C",336,3,0
60,4,13,"C",NA,NA,0
61,4,13,NA,NA,NA,0
62,4,13,"C",349,2,0
63,4,13,NA,NA,NA,0
64,5,14,NA,NA,NA,0
65,5,14,NA,NA,NA,0
66,5,14,NA,NA,NA,0
67,5,14,NA,NA,NA,0
68,5,14,NA,NA,NA,0
69,6,15,"H",205,2,1
70,6,15,"H",212,1,0
71,6,15,"C",165,5,1
72,6,15,NA,NA,NA,0
73,6,15,"H",185,4,2
74,6,15,"H",259,1,0
75,4,16,NA,NA,NA,0
76,4,16,NA,NA,NA,0
77,4,16,NA,NA,NA,0
78,4,16,NA,NA,NA,0
79,4,17,NA,NA,NA,0
80,4,17,NA,NA,NA,0
81,4,17,"C",249,3,0
82,4,17,NA,NA,NA,0
83,4,18,NA,NA,NA,0
84,4,18,NA,NA,NA,0
85,4,18,"C",NA,NA,0
86,4,18,NA,NA,NA,0
87,4,19,NA,NA,NA,0
88,4,19,"C",NA,NA,0
89,4,19,"C",218,3,0
90,4,19,"C",356,1,0
91,6,20,NA,NA,NA,0
92,6,20,NA,NA,NA,0
93,6,20,NA,NA,NA,0
94,6,20,"H",275,3,0
95,6,20,"C",226,5,1
96,6,20,"H",247,4,1
97,6,21,"C",155,5,1
98,6,21,NA,NA,NA,0
99,6,21,NA,NA,NA,0
100,6,21,"H",202,3,0
101,6,21,"H",179,4,1
102,6,21,NA,NA,NA,0
103,6,22,NA,NA,NA,0
104,6,22,"C",NA,NA,0
105,6,22,NA,NA,NA,0
106,6,22,NA,NA,NA,0
107,6,22,NA,NA,NA,0
108,6,22,NA,NA,NA,0
109,6,23,"H",NA,NA,0
110,6,23,"H",NA,NA,0
111,6,23,"H",NA,NA,0
112,6,23,NA,NA,NA,0
113,6,23,NA,NA,NA,0
114,6,23,"C",338,5,3
115,6,24,"H",NA,NA,0
116,6,24,"H",347,2,1
117,6,24,"C",326,5,3
118,6,24,NA,NA,NA,0
119,6,24,"H",350,2,0
120,6,24,"H",NA,NA,0
121,3,25,"C",265,2,0
122,3,25,NA,NA,NA,0
123,3,25,NA,NA,NA,0
124,6,26,"H",71,3,2
125,6,26,"H",76,2,1
126,6,26,"H",115,0,0
127,6,26,"C",39,5,2
128,6,26,"H",121,0,0
129,6,26,"H",134,0,0
130,6,27,"H",NA,NA,0
131,6,27,"H",NA,NA,0
132,6,27,"H",357,1,1
133,6,27,"C",336,5,4
134,6,27,"H",363,0,0
135,6,27,"H",NA,NA,0
136,6,28,NA,NA,NA,0
137,6,28,"C",214,5,0
138,6,28,NA,NA,NA,0
139,6,28,NA,NA,NA,0
140,6,28,NA,NA,NA,0
141,6,28,NA,NA,NA,0
142,4,29,NA,NA,NA,0
143,4,29,"C",356,3,0
144,4,29,NA,NA,NA,0
145,4,29,NA,NA,NA,0
146,3,30,"H",323,0,0
147,3,30,"C",303,2,2
148,3,30,"H",321,0,0
149,6,31,NA,NA,NA,0
150,6,31,NA,NA,NA,0
151,6,31,"C",353,4,1
152,6,31,"C",228,5,0
153,6,31,"H",NA,NA,0
154,6,31,NA,NA,NA,0
155,6,32,NA,NA,NA,0
156,6,32,NA,NA,NA,0
157,6,32,NA,NA,NA,0
158,6,32,NA,NA,NA,0
159,6,32,NA,NA,NA,0
160,6,32,NA,NA,NA,0
161,6,33,NA,NA,NA,0
162,6,33,NA,NA,NA,0
163,6,33,NA,NA,NA,0
164,6,33,NA,NA,NA,0
165,6,33,NA,NA,NA,0
166,6,33,NA,NA,NA,0
167,5,34,NA,NA,NA,0
168,5,34,NA,NA,NA,0
169,5,34,NA,NA,NA,0
170,5,34,NA,NA,NA,0
171,5,34,NA,NA,NA,0
172,6,35,NA,NA,NA,0
173,6,35,"C",349,5,1
174,6,35,NA,NA,NA,0
175,6,35,"H",NA,NA,0
176,6,35,NA,NA,NA,0
177,6,35,NA,NA,NA,0
