"ID","SIZE","HH","TYPE","TIME","S_NUM","I_NUM"
1,5,1,"0",46,4,3
2,5,1,"H",97,1,0
3,5,1,"C",NA,NA,0
4,5,1,"H",72,1,0
5,5,1,"H",84,1,0
6,4,2,"C",NA,NA,0
7,4,2,"C",NA,NA,0
8,4,2,NA,NA,NA,0
9,4,2,"C",365,1,0
10,5,3,NA,NA,NA,0
11,5,3,"C",NA,NA,0
12,5,3,NA,NA,NA,0
13,5,3,NA,NA,NA,0
14,5,3,NA,NA,NA,0
15,6,4,NA,NA,NA,0
16,6,4,"C",NA,NA,0
17,6,4,"C",318,5,1
18,6,4,"H",NA,NA,0
19,6,4,NA,NA,NA,0
20,6,4,"H",350,4,1
21,4,5,NA,NA,NA,0
22,4,5,NA,NA,NA,0
23,4,5,NA,NA,NA,0
24,4,5,NA,NA,NA,0
25,5,6,NA,NA,NA,0
26,5,6,NA,NA,NA,0
27,5,6,NA,NA,NA,0
28,5,6,NA,NA,NA,0
29,5,6,NA,NA,NA,0
30,4,7,NA,NA,NA,0
31,4,7,NA,NA,NA,0
32,4,7,NA,NA,NA,0
33,4,7,"C",233,3,0
34,6,8,NA,NA,NA,0
35,6,8,"C",153,5,0
36,6,8,"C",358,2,0
37,6,8,"C",345,2,0
38,6,8,NA,NA,NA,0
39,6,8,"C",NA,NA,0
40,3,9,"C",189,2,1
41,3,9,NA,NA,NA,0
42,3,9,"H",212,1,0
43,3,10,"C",309,2,2
44,3,10,"H",344,0,0
45,3,10,"H",325,0,0
46,4,11,NA,NA,NA,0
47,4,11,"C",NA,NA,0
48,4,11,NA,NA,NA,0
49,4,11,NA,NA,NA,0
50,6,12,"H",288,2,0
51,6,12,"H",321,1,1
52,6,12,"C",270,5,3
53,6,12,"H",343,0,0
54,6,12,"H",305,2,1
55,6,12,"H",NA,NA,0
56,4,13,NA,NA,NA,0
57,4,13,NA,NA,NA,0
58,4,13,NA,NA,NA,0
59,4,13,NA,NA,NA,0
60,4,14,NA,NA,NA,0
61,4,14,NA,NA,NA,0
62,4,14,NA,NA,NA,0
63,4,14,NA,NA,NA,0
64,4,15,NA,NA,NA,0
65,4,15,NA,NA,NA,0
66,4,15,NA,NA,NA,0
67,4,15,NA,NA,NA,0
68,4,16,"C",NA,NA,0
69,4,16,"C",348,2,1
70,4,16,"H",NA,NA,0
71,4,16,NA,NA,NA,0
72,4,17,NA,NA,NA,0
73,4,17,"H",314,2,0
74,4,17,NA,NA,NA,0
75,4,17,"C",285,3,1
76,6,18,"H",318,2,0
77,6,18,"H",346,2,1
78,6,18,"H",308,3,1
79,6,18,"C",288,5,2
80,6,18,"H",363,0,0
81,6,18,"C",NA,NA,0
82,4,19,"C",350,3,2
83,4,19,"C",NA,NA,0
84,4,19,"H",NA,NA,0
85,4,19,"H",NA,NA,0
86,5,20,NA,NA,NA,0
87,5,20,NA,NA,NA,0
88,5,20,NA,NA,NA,0
89,5,20,"C",NA,NA,0
90,5,20,NA,NA,NA,0
91,3,21,"H",NA,NA,0
92,3,21,"C",345,2,1
93,3,21,NA,NA,NA,0
94,4,22,"C",NA,NA,0
95,4,22,NA,NA,NA,0
96,4,22,NA,NA,NA,0
97,4,22,NA,NA,NA,0
98,6,23,NA,NA,NA,0
99,6,23,"C",362,3,0
100,6,23,"H",326,4,0
101,6,23,"C",275,5,1
102,6,23,NA,NA,NA,0
103,6,23,NA,NA,NA,0
104,5,24,NA,NA,NA,0
105,5,24,NA,NA,NA,0
106,5,24,NA,NA,NA,0
107,5,24,NA,NA,NA,0
108,5,24,NA,NA,NA,0
109,5,25,NA,NA,NA,0
110,5,25,NA,NA,NA,0
111,5,25,NA,NA,NA,0
112,5,25,NA,NA,NA,0
113,5,25,"C",NA,NA,0
114,6,26,"H",NA,NA,0
115,6,26,NA,NA,NA,0
116,6,26,NA,NA,NA,0
117,6,26,NA,NA,NA,0
118,6,26,NA,NA,NA,0
119,6,26,"C",349,5,1
120,4,27,NA,NA,NA,0
121,4,27,"C",NA,NA,0
122,4,27,NA,NA,NA,0
123,4,27,NA,NA,NA,0
124,6,28,"C",168,4,1
125,6,28,"C",197,1,1
126,6,28,"H",221,0,0
127,6,28,"H",206,0,0
128,6,28,"H",186,3,2
129,6,28,"H",220,0,0
130,3,29,NA,NA,NA,0
131,3,29,"C",NA,NA,0
132,3,29,NA,NA,NA,0
133,4,30,NA,NA,NA,0
134,4,30,NA,NA,NA,0
135,4,30,"C",NA,NA,0
136,4,30,NA,NA,NA,0
137,3,31,NA,NA,NA,0
138,3,31,NA,NA,NA,0
139,3,31,"C",337,2,0
140,5,32,NA,NA,NA,0
141,5,32,"C",NA,NA,0
142,5,32,"C",NA,NA,0
143,5,32,NA,NA,NA,0
144,5,32,NA,NA,NA,0
145,4,33,NA,NA,NA,0
146,4,33,NA,NA,NA,0
147,4,33,NA,NA,NA,0
148,4,33,"C",364,3,0
149,6,34,NA,NA,NA,0
