"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,5,1,"0",13,4,2
2,5,1,"H",46,2,1
3,5,1,"H",86,1,0
4,5,1,"C",230,0,0
5,5,1,"H",47,2,0
6,3,2,NA,NA,NA,0
7,3,2,NA,NA,NA,0
8,3,2,"C",289,2,0
9,3,3,NA,NA,NA,0
10,3,3,NA,NA,NA,0
11,3,3,NA,NA,NA,0
12,5,4,"H",152,2,2
13,5,4,"C",128,4,2
14,5,4,"H",203,0,0
15,5,4,"H",184,0,0
16,5,4,"H",159,1,0
17,4,5,NA,NA,NA,0
18,4,5,NA,NA,NA,0
19,4,5,"C",282,3,0
20,4,5,"C",NA,NA,0
21,6,6,"C",282,5,3
22,6,6,"C",320,1,1
23,6,6,"H",316,1,0
24,6,6,"H",306,1,0
25,6,6,"H",310,1,0
26,6,6,"H",345,0,0
27,3,7,NA,NA,NA,0
28,3,7,"C",313,2,0
29,3,7,"C",NA,NA,0
30,5,8,"H",298,0,0
31,5,8,"H",265,2,2
32,5,8,"H",332,0,0
33,5,8,"H",300,0,0
34,5,8,"C",243,4,2
35,6,9,NA,NA,NA,0
36,6,9,"C",NA,NA,0
37,6,9,NA,NA,NA,0
38,6,9,NA,NA,NA,0
39,6,9,NA,NA,NA,0
40,6,9,NA,NA,NA,0
41,4,10,"C",NA,NA,0
42,4,10,NA,NA,NA,0
43,4,10,"C",344,1,0
44,4,10,"C",306,3,0
45,3,11,"C",238,2,0
46,3,11,"C",NA,NA,0
47,3,11,"C",294,1,0
48,3,12,NA,NA,NA,0
49,3,12,NA,NA,NA,0
50,3,12,"C",354,2,0
51,6,13,"H",286,0,0
52,6,13,"H",291,0,0
53,6,13,"H",300,0,0
54,6,13,"C",241,2,0
55,6,13,"C",234,4,2
56,6,13,"H",269,2,2
57,5,14,"H",NA,NA,0
58,5,14,"C",321,3,2
59,5,14,"H",358,1,1
60,5,14,"C",325,3,0
61,5,14,"H",364,0,0
62,3,15,"H",301,0,0
63,3,15,"C",279,1,1
64,3,15,"C",303,0,0
65,3,16,"C",NA,NA,0
66,3,16,NA,NA,NA,0
67,3,16,"C",295,2,0
68,6,17,"H",235,3,1
69,6,17,"H",318,0,0
70,6,17,"H",269,2,1
71,6,17,"C",294,0,0
72,6,17,"C",198,5,2
73,6,17,"H",232,3,0
74,3,18,"H",327,0,0
75,3,18,"C",279,2,1
76,3,18,"H",300,1,1
77,3,19,"C",130,2,1
78,3,19,"H",207,0,0
79,3,19,"H",168,1,1
80,4,20,NA,NA,NA,0
81,4,20,"C",245,2,0
82,4,20,NA,NA,NA,0
83,4,20,"C",288,2,0
84,6,21,"H",204,1,1
85,6,21,"H",216,0,0
86,6,21,"H",242,0,0
87,6,21,"H",252,0,0
88,6,21,"H",226,0,0
89,6,21,"C",178,5,4
90,5,22,"C",129,4,1
91,5,22,"C",NA,NA,0
92,5,22,NA,NA,NA,0
93,5,22,"H",204,2,0
94,5,22,"H",174,3,1
95,5,23,"C",329,0,0
96,5,23,"C",313,1,1
97,5,23,"C",306,2,0
98,5,23,"H",343,0,0
99,5,23,"C",341,0,0
100,5,24,"H",NA,NA,0
101,5,24,"C",277,4,1
102,5,24,"H",336,2,2
103,5,24,"H",357,0,0
104,5,24,"H",289,3,1
105,3,25,NA,NA,NA,0
106,3,25,NA,NA,NA,0
107,3,25,NA,NA,NA,0
108,5,26,NA,NA,NA,0
109,5,26,NA,NA,NA,0
110,5,26,NA,NA,NA,0
111,5,26,NA,NA,NA,0
112,5,26,NA,NA,NA,0
113,3,27,NA,NA,NA,0
114,3,27,"C",NA,NA,0
115,3,27,NA,NA,NA,0
116,5,28,"C",228,4,0
117,5,28,"H",NA,NA,0
118,5,28,"H",290,1,1
119,5,28,"H",317,0,0
120,5,28,"C",245,3,2
121,3,29,"C",NA,NA,0
122,3,29,NA,NA,NA,0
123,3,29,NA,NA,NA,0
124,5,30,"C",282,2,0
125,5,30,NA,NA,NA,0
126,5,30,"H",153,3,0
127,5,30,"C",111,4,1
128,5,30,"C",331,1,0
129,6,31,"H",275,0,0
130,6,31,"H",242,0,0
131,6,31,"H",239,0,0
132,6,31,"H",229,1,1
133,6,31,"C",192,4,1
134,6,31,"C",199,3,2
135,4,32,NA,NA,NA,0
136,4,32,"C",358,3,0
137,4,32,NA,NA,NA,0
138,4,32,NA,NA,NA,0
139,4,33,"C",350,2,1
140,4,33,"H",NA,NA,0
141,4,33,NA,NA,NA,0
142,4,33,"C",338,2,0
143,5,34,"C",301,4,1
144,5,34,"H",NA,NA,0
145,5,34,NA,NA,NA,0
146,5,34,"H",358,2,1
147,5,34,"H",339,3,1
148,3,35,NA,NA,NA,0
149,3,35,NA,NA,NA,0
150,3,35,"C",343,2,0
151,6,36,"C",183,1,0
152,6,36,"C",130,4,2
153,6,36,"H",189,1,0
154,6,36,"H",162,1,0
155,6,36,NA,NA,NA,0
156,6,36,"H",149,2,1
157,4,37,"H",285,2,1
158,4,37,"H",NA,NA,0
159,4,37,"H",363,1,1
160,4,37,"C",249,3,1
161,6,38,"C",330,5,1
162,6,38,NA,NA,NA,0
163,6,38,NA,NA,NA,0
164,6,38,NA,NA,NA,0
165,6,38,"H",360,4,0
166,6,38,NA,NA,NA,0
167,5,39,NA,NA,NA,0
168,5,39,NA,NA,NA,0
169,5,39,NA,NA,NA,0
170,5,39,NA,NA,NA,0
171,5,39,NA,NA,NA,0
172,6,40,"H",330,1,1
173,6,40,"C",287,3,1
174,6,40,"H",351,0,0
175,6,40,"H",317,1,0
176,6,40,"C",279,3,0
177,6,40,"C",314,2,1
178,5,41,"H",267,2,0
179,5,41,NA,NA,NA,0
180,5,41,"H",223,3,1
181,5,41,"C",334,1,0
182,5,41,"C",194,4,1
183,6,42,"H",225,1,0
184,6,42,"H",224,1,0
185,6,42,"C",207,3,2
186,6,42,"H",255,1,0
187,6,42,NA,NA,NA,0
188,6,42,"C",204,4,1
189,5,43,"H",334,1,0
190,5,43,NA,NA,NA,0
191,5,43,"C",268,2,1
192,5,43,"H",275,1,0
193,5,43,"C",263,3,1
194,4,44,NA,NA,NA,0
195,4,44,NA,NA,NA,0
196,4,44,"H",337,2,0
197,4,44,"C",305,3,1
198,5,45,NA,NA,NA,0
199,5,45,NA,NA,NA,0
200,5,45,NA,NA,NA,0
201,5,45,NA,NA,NA,0
202,5,45,NA,NA,NA,0
203,6,46,"H",190,0,0
204,6,46,"H",184,1,1
205,6,46,"C",171,5,4
206,6,46,"H",198,0,0
207,6,46,"H",199,0,0
208,6,46,"H",214,0,0
209,5,47,"C",287,4,0
210,5,47,"C",325,3,2
211,5,47,"H",356,1,0
212,5,47,NA,NA,NA,0
213,5,47,"H",336,1,0
214,3,48,"C",287,2,0
215,3,48,NA,NA,NA,0
216,3,48,NA,NA,NA,0
217,5,49,"H",NA,NA,0
218,5,49,NA,NA,NA,0
219,5,49,"H",NA,NA,0
220,5,49,NA,NA,NA,0
221,5,49,"C",355,4,2
222,5,50,"H",313,1,1
223,5,50,"C",284,3,1
224,5,50,"C",320,0,0
225,5,50,"H",346,0,0
226,5,50,"C",312,1,0
227,3,51,"C",338,1,1
228,3,51,"C",309,1,0
229,3,51,"H",NA,NA,0
230,6,52,NA,NA,NA,0
231,6,52,"C",336,5,1
232,6,52,NA,NA,NA,0
233,6,52,"H",NA,NA,0
234,6,52,NA,NA,NA,0
235,6,52,NA,NA,NA,0
236,6,53,"C",296,1,1
237,6,53,"H",212,4,1
238,6,53,"H",299,1,0
239,6,53,"H",269,2,1
240,6,53,"H",324,0,0
241,6,53,"C",174,5,1
242,6,54,"H",308,1,0
243,6,54,"C",244,5,3
244,6,54,"H",272,1,0
245,6,54,"H",264,2,1
246,6,54,"H",263,2,0
247,6,54,NA,NA,NA,0
248,5,55,"C",NA,NA,0
249,5,55,"H",NA,NA,0
250,5,55,NA,NA,NA,0
251,5,55,NA,NA,NA,0
252,5,55,"C",301,4,1
253,5,56,NA,NA,NA,0
254,5,56,NA,NA,NA,0
255,5,56,"C",211,4,0
256,5,56,NA,NA,NA,0
257,5,56,NA,NA,NA,0
258,4,57,"C",359,1,0
259,4,57,"C",326,2,1
260,4,57,"H",361,1,0
261,4,57,NA,NA,NA,0
262,4,58,"C",239,3,1
263,4,58,"H",280,1,0
264,4,58,NA,NA,NA,0
265,4,58,"C",265,1,0
266,3,59,NA,NA,NA,0
267,3,59,NA,NA,NA,0
268,3,59,"C",203,2,0
269,5,60,NA,NA,NA,0
270,5,60,"H",NA,NA,0
271,5,60,"C",321,4,0
272,5,60,"C",342,3,2
273,5,60,"H",NA,NA,0
274,5,61,"C",334,1,1
275,5,61,"H",353,0,0
276,5,61,"H",242,3,1
277,5,61,"C",218,4,1
278,5,61,"H",291,2,0
279,5,62,"C",233,4,1
280,5,62,NA,NA,NA,0
281,5,62,"C",270,1,0
282,5,62,"H",251,2,1
283,5,62,"H",269,1,0
284,5,63,"H",359,1,0
285,5,63,"H",363,1,0
286,5,63,"H",NA,NA,0
287,5,63,"C",330,4,3
288,5,63,"C",NA,NA,0
289,5,64,NA,NA,NA,0
290,5,64,"C",249,4,0
291,5,64,NA,NA,NA,0
292,5,64,"C",332,3,1
293,5,64,"H",NA,NA,0
294,4,65,NA,NA,NA,0
295,4,65,NA,NA,NA,0
296,4,65,NA,NA,NA,0
297,4,65,NA,NA,NA,0
298,5,66,"C",288,1,0
299,5,66,"H",304,1,0
300,5,66,NA,NA,NA,0
301,5,66,"H",295,1,0
302,5,66,"C",277,3,2
303,4,67,NA,NA,NA,0
304,4,67,NA,NA,NA,0
305,4,67,NA,NA,NA,0
306,4,67,NA,NA,NA,0
307,5,68,"C",206,4,1
308,5,68,NA,NA,NA,0
309,5,68,"H",222,3,1
310,5,68,"H",256,2,1
311,5,68,"H",279,1,0
312,4,69,"C",NA,NA,0
