"ID","SIZE","HH","TYPE","TIME","S_num","I_num"
1,3,1,"0",43,2,1
2,3,1,"H",62,1,1
3,3,1,"H",100,0,0
4,3,2,NA,NA,NA,0
5,3,2,NA,NA,NA,0
6,3,2,NA,NA,NA,0
7,3,3,NA,NA,NA,0
8,3,3,"C",329,2,0
9,3,3,NA,NA,NA,0
10,5,4,"C",325,3,2
11,5,4,"H",NA,NA,0
12,5,4,"H",364,0,0
13,5,4,"C",312,3,0
14,5,4,"H",360,1,1
15,3,5,NA,NA,NA,0
16,3,5,NA,NA,NA,0
17,3,5,NA,NA,NA,0
18,3,6,NA,NA,NA,0
19,3,6,NA,NA,NA,0
20,3,6,NA,NA,NA,0
21,6,7,"H",NA,NA,0
22,6,7,"C",NA,NA,0
23,6,7,NA,NA,NA,0
24,6,7,NA,NA,NA,0
25,6,7,"H",NA,NA,0
26,6,7,"C",359,4,2
27,5,8,"C",NA,NA,0
28,5,8,"H",NA,NA,0
29,5,8,NA,NA,NA,0
30,5,8,"C",338,3,1
31,5,8,NA,NA,NA,0
32,3,9,NA,NA,NA,0
33,3,9,"C",359,2,0
34,3,9,NA,NA,NA,0
35,4,10,NA,NA,NA,0
36,4,10,"C",313,2,0
37,4,10,"C",250,3,0
38,4,10,NA,NA,NA,0
39,3,11,NA,NA,NA,0
40,3,11,NA,NA,NA,0
41,3,11,NA,NA,NA,0
42,6,12,"H",215,1,0
43,6,12,"C",77,5,1
44,6,12,"C",347,0,0
45,6,12,"H",179,3,2
46,6,12,"H",219,1,0
47,6,12,"H",157,4,1
48,3,13,NA,NA,NA,0
49,3,13,NA,NA,NA,0
50,3,13,NA,NA,NA,0
51,6,14,"C",315,4,1
52,6,14,"C",NA,NA,0
53,6,14,"C",360,0,0
54,6,14,"C",334,2,0
55,6,14,"H",350,1,1
56,6,14,"H",NA,NA,0
57,3,15,NA,NA,NA,0
58,3,15,NA,NA,NA,0
59,3,15,NA,NA,NA,0
60,6,16,"C",308,5,2
61,6,16,"H",322,3,0
62,6,16,NA,NA,NA,0
63,6,16,NA,NA,NA,0
64,6,16,"C",NA,NA,0
65,6,16,"H",NA,NA,0
66,5,17,NA,NA,NA,0
67,5,17,NA,NA,NA,0
68,5,17,NA,NA,NA,0
69,5,17,NA,NA,NA,0
70,5,17,NA,NA,NA,0
71,3,18,NA,NA,NA,0
72,3,18,NA,NA,NA,0
73,3,18,"C",NA,NA,0
74,6,19,NA,NA,NA,0
75,6,19,"H",NA,NA,0
76,6,19,"C",332,3,1
77,6,19,"C",315,4,1
78,6,19,"H",348,2,1
79,6,19,"H",NA,NA,0
